id,mz,rt,rtmin,rtmax,n_glc,mean_inten
3861,78.9583,10.93,10.87,11.38,35000000,35000000
3871,422.0619,10.93,10.87,11.07,1300000,1300000
3929,112.0422,11.07,11.04,11.27,55000000,55000000
3943,427.0198,11.07,10.98,11.36,2800000,2800000
3989,222.0598,11.15,11.1,11.3,3300000,3300000
4074,145.0144,11.33,11.21,11.76,67000000,67000000
4100,133.0104,11.47,11.36,11.58,330000000,330000000
4109,135.0186,11.47,11.33,11.84,3100000,3100000
4161,685.0075,11.56,11.41,11.67,710000,710000
4190,543.9451,11.67,11.61,11.84,250000,250000
4199,647.9178,11.7,11.61,11.9,430000,430000
4205,294.4882,11.73,11.61,11.96,1300000,1300000
4214,625.9365,11.73,11.61,11.93,1000000,1000000
4219,158.9237,11.76,11.67,11.87,130000,130000
4228,264.4743,11.76,11.61,12.19,2400000,2400000
4245,505.9725,11.76,11.64,11.84,620000,620000
4249,506.9859,11.76,11.61,12.19,9600000,9600000
4258,528.4591,11.76,11.67,11.87,860000,860000
4314,316.0536,11.87,11.76,12.01,350000,350000
4329,306.0669,11.9,11.76,12.27,5500000,5500000
4341,613.1414,11.9,11.73,12.24,8800000,8800000
4343,614.1446,11.9,11.79,12.16,2000000,2000000
4352,633.1154,11.93,11.76,12.19,6500000,6500000
4353,635.1118,11.93,11.79,12.04,530000,530000
4354,649.0923,11.93,11.79,12.16,860000,860000
4356,655.0973,11.93,11.79,12.16,1200000,1200000
4371,731.1047,11.96,11.84,12.07,210000,210000
4436,625.9382,12.21,11.93,12.59,490000,490000
4456,79.9567,12.27,12.19,12.39,200000,200000
4460,96.9576,12.27,12.19,12.44,240000,240000
4461,96.9602,12.27,12.16,12.76,160000000,160000000
4470,194.9276,12.27,12.16,12.47,110000000,110000000
4536,602.8991,12.41,12.33,12.61,1700000,1700000
4545,483.9589,12.44,12.36,12.61,4100000,4100000
4546,566.9581,12.44,12.39,12.67,760000,760000
4556,252.9607,12.47,12.33,12.67,560000,560000
4592,520.9087,12.5,12.41,12.61,220000,220000
4604,191.0258,12.56,12.53,12.76,160000000,160000000
4610,766.067,12.56,12.44,12.7,350000,350000
4613,192.0261,12.59,12.56,12.9,11000000,11000000
4614,193.0265,12.59,12.47,12.81,2300000,2300000
4618,295.9969,12.59,12.5,13.19,320000,320000
4650,601.9369,12.61,12.59,12.87,160000,160000
4651,623.919,12.61,12.59,13.02,91000,91000
4657,274.0113,12.64,12.53,12.84,200000,200000
4662,310.9663,12.64,12.53,12.79,190000,190000
4678,282.4793,12.67,12.56,12.84,280000,280000
4790,663.9256,13.13,12.99,13.22,130000,130000
4815,249.027,13.25,12.84,13.45,720000,720000
4969,145.1018,13.91,13.85,14.08,81000000,81000000
4974,288.1136,13.91,13.76,14.05,160000,160000
4978,333.0619,13.91,13.76,14.02,110000,110000
4994,146.1017,13.93,13.73,14.22,5300000,5300000
4996,147.105,13.93,13.79,14.08,340000,340000
5068,141.0235,14.3,14.11,14.36,2800000,2800000
5186,487.0085,14.45,14.36,14.76,3800000,3800000
5207,141.0193,14.48,14.11,15.19,1200000000,1200000000
5233,142.0203,14.5,14.08,15.59,52000000,52000000
5238,323.0013,14.5,14.25,14.87,5400000,5400000
5239,362.9879,14.5,14.16,15.07,1200000,1200000
5243,404.9985,14.5,14.19,14.96,5900000,5900000
5122,70.3378,14.42,14.36,14.65,1400000,1400000
4358,70.3479,11.96,11.81,12.13,280000,280000
3037,71.0138,9.15,8.7,10.04,70000000,70000000
3029,71.0298,9.13,8.79,9.21,260000,260000
3038,72.0172,9.15,8.7,9.32,2600000,2600000
5226,72.1127,14.5,14.36,14.65,910000,910000
3039,73.0181,9.15,8.76,9.24,390000,390000
3899,73.0295,11.01,10.9,11.15,5200000,5200000
3493,73.5674,10.07,9.99,10.19,520000,520000
3923,74.0329,11.04,10.93,11.13,180000,180000
3411,74.0417,9.87,9.79,9.99,290000,290000
3412,75.0281,9.87,9.76,10.24,1400000,1400000
1376,75.0459,3.53,3.44,3.67,100000,100000
5172,76.2563,14.45,14.22,14.82,760000,760000
3554,76.5196,10.19,10.07,10.33,1500000,1500000
2605,77.0252,8.36,8.27,8.5,290000,290000
3040,78.9189,9.15,9.01,9.5,12000000,12000000
1092,79.9566,2.81,2.76,3.04,440000,440000
3276,79.9574,9.62,9.53,9.84,1200000,1200000
3041,80.9169,9.15,9.01,9.47,14000000,14000000
3146,80.9749,9.37,9.27,9.79,1700000,1700000
3086,81.0346,9.18,8.79,9.24,360000,360000
5227,82.0035,14.5,14.36,14.67,620000,620000
5411,82.0035,14.79,14.73,15.16,300000,300000
4797,82.0663,13.22,13.02,13.36,160000,160000
1684,82.9542,4.93,4.76,5.13,100000,100000
3167,82.972,9.39,9.32,9.5,750000,750000
3042,83.0139,9.15,8.7,10.13,5200000,5200000
2721,84.0455,8.56,8.44,8.81,720000,720000
3351,84.0455,9.79,9.65,10.01,470000,470000
3043,85.0295,9.15,8.73,9.93,18000000,18000000
1662,85.0296,4.79,4.67,5.1,1400000,1400000
4548,85.0296,12.47,12.39,12.64,2800000,2800000
3044,86.0329,9.15,8.76,9.21,700000,700000
305,87.8407,1.62,1.5,2.1,720000,720000
240,87.9522,1.59,1.53,1.93,280000,280000
2131,88.0404,6.97,6.74,7.53,20000000,20000000
3131,88.0404,9.34,9.13,10.16,46000000,46000000
3679,88.0405,10.47,10.16,10.61,9300000,9300000
1093,88.2628,2.81,2.76,3.18,1100000,1100000
2203,88.9813,7.28,7.11,7.56,520000,520000
4431,88.9881,12.21,12.16,12.41,8300000,8300000
2218,89.0117,7.31,7.11,7.82,1300000,1300000
2204,89.017,7.28,7.14,7.5,390000,390000
2219,89.0191,7.31,7.11,7.79,610000,610000
2303,89.028,7.65,7.56,7.85,330000,330000
2328,89.031,7.7,7.67,7.9,140000,140000
2412,89.0331,7.87,7.79,7.99,100000,100000
3680,89.0357,10.47,10.38,10.61,340000,340000
2381,89.036,7.76,7.62,7.93,100000,100000
2222,89.0372,7.31,7.05,7.39,1100000,1100000
2250,89.0395,7.39,7.22,7.53,340000,340000
2118,89.0438,6.94,6.77,7.19,590000,590000
3147,89.0438,9.37,9.15,9.79,1800000,1800000
3681,89.0438,10.47,10.38,10.61,370000,370000
2223,89.0447,7.31,7.22,7.45,510000,510000
2224,89.0469,7.31,7.05,8.24,5300000,5300000
2206,89.0676,7.28,7.14,7.53,470000,470000
4457,89.9915,12.27,12.13,12.3,150000,150000
2225,90.0278,7.31,7.05,8.7,41000000,41000000
2207,90.0307,7.28,7.19,7.42,940000,940000
2681,90.0307,8.44,8.1,8.79,2200000,2200000
241,90.7313,1.59,1.5,1.93,350000,350000
183,90.9553,1.56,1.5,1.96,400000,400000
2667,91.0037,8.41,7.59,9.15,8900000,8900000
2226,91.0287,7.31,7.05,8.7,8300000,8300000
2227,91.0311,7.31,7.28,7.56,520000,520000
3168,92.9281,9.39,9.21,9.73,4400000,4400000
3368,92.9281,9.82,9.73,9.96,460000,460000
129,93.5619,1.53,1.45,1.9,640000,640000
130,93.8126,1.53,1.47,1.67,140000,140000
3148,94.9251,9.37,9.21,9.7,2900000,2900000
930,94.9807,2.67,2.47,2.7,1400000,1400000
3149,94.9906,9.37,9.27,9.45,510000,510000
3051,95.0139,9.15,8.7,9.93,7400000,7400000
5096,96.7572,14.39,14.3,14.65,620000,620000
4458,96.9351,12.27,12.19,12.41,410000,410000
4459,96.9457,12.27,12.19,12.41,120000,120000
3924,96.9697,11.04,10.87,11.33,24000000,24000000
4463,96.9858,12.27,12.19,12.41,490000,490000
2427,97.0044,7.93,7.82,8.07,570000,570000
1289,97.066,3.27,3.07,3.93,530000,530000
4464,97.9596,12.27,12.16,12.47,1100000,1100000
4441,97.9644,12.24,12.21,12.44,210000,210000
4465,98.956,12.27,12.16,12.53,7400000,7400000
4487,98.9644,12.3,12.19,12.47,1300000,1300000
3260,98.9669,9.59,9.24,10.13,2400000,2400000
3900,99.0089,11.01,10.93,11.13,1500000,1500000
3749,99.0452,10.58,10.47,10.7,670000,670000
1698,100.0227,5.02,4.67,5.79,4000000,4000000
4960,100.9337,13.88,13.76,14.05,230000,230000
3088,100.9978,9.18,8.87,9.21,260000,260000
4072,101.0245,11.33,11.21,11.47,26000000,26000000
3352,101.0721,9.79,9.67,10.04,1200000,1200000
4073,102.0279,11.33,11.13,11.41,1100000,1100000
2895,102.0561,8.81,8.64,9.1,2100000,2100000
3623,102.0561,10.36,10.21,10.93,20000000,20000000
3892,103.0038,10.98,10.87,11.13,2600000,2600000
1723,103.0401,5.22,4.96,5.96,4400000,4400000
2149,103.0401,6.99,6.8,7.16,3900000,3900000
3624,103.0595,10.36,10.24,10.47,740000,740000
3494,104.0075,10.07,9.99,10.19,210000,210000
2753,104.0354,8.61,8.44,8.76,850000,850000
3497,104.0638,10.07,9.99,10.19,230000,230000
3004,105.0194,9.04,8.93,9.24,19000000,19000000
3125,105.0194,9.32,9.24,9.79,1300000,1300000
3498,105.0387,10.07,9.96,10.38,2700000,2700000
3005,106.0227,9.04,8.96,9.18,520000,520000
2931,107.0351,8.87,8.73,9.27,990000,990000
3234,108.0125,9.53,9.42,9.84,6500000,6500000
898,108.9963,2.61,2.5,2.7,120000,120000
2786,109.9918,8.64,8.44,8.96,2600000,2600000
1685,110.9581,4.93,4.79,5.05,60000,60000
1663,110.9758,4.79,4.59,5.25,280000,280000
4623,111.0089,12.61,12.36,13.39,6100000,6100000
1290,111.0201,3.27,3.15,3.64,6600000,6600000
1309,112.0235,3.33,3.15,3.61,240000,240000
3901,112.0517,11.01,10.87,12.21,11000000,11000000
3951,112.0723,11.1,11.01,11.27,120000,120000
3962,113.0439,11.13,10.84,11.41,3000000,3000000
1586,113.0487,4.33,4.13,4.56,190000,190000
1588,113.0551,4.36,4.16,4.93,750000,750000
3902,113.0551,11.01,10.87,11.7,530000,530000
3058,114.0278,9.15,8.73,9.79,5500000,5500000
3963,114.0448,11.13,11.01,11.27,230000,230000
2453,114.0561,8.04,7.87,8.47,32000000,32000000
5412,114.9804,14.79,14.62,15.36,450000,450000
1680,115.0038,4.9,4.79,5.22,890000,890000
4151,115.0038,11.56,11.33,11.9,19000000,19000000
2304,115.0209,7.65,7.53,8.39,1500000,1500000
3094,115.0287,9.18,8.73,9.21,680000,680000
1157,115.0401,2.95,2.64,3.47,33000000,33000000
1158,115.0425,2.95,2.9,3.1,130000,130000
2454,115.0595,8.04,7.9,8.36,1700000,1700000
972,115.0765,2.7,1.9,3.3,1100000,1100000
4163,116.0071,11.58,11.33,11.7,810000,810000
2736,116.0354,8.59,8.47,8.73,4100000,4100000
1159,116.0435,2.95,2.81,3.44,1900000,1900000
2460,116.0605,8.07,7.96,8.19,180000,180000
2494,116.1053,8.13,7.96,8.27,400000,400000
4914,116.9286,13.68,12.81,14.16,1200000,1200000
3278,116.9726,9.62,9.47,9.73,380000,380000
5077,116.9726,14.33,14.11,15.13,2200000,2200000
4164,117.008,11.58,11.41,11.67,140000,140000
3903,117.0194,11.01,10.9,11.18,85000000,85000000
1427,117.0558,3.61,3.44,3.81,2100000,2100000
2474,117.0688,8.1,7.96,8.3,390000,390000
2475,117.0751,8.1,7.9,8.98,7100000,7100000
2476,117.078,8.1,7.99,8.22,180000,180000
3219,118.0174,9.5,9.42,9.67,500000,500000
3904,118.0228,11.01,10.9,11.18,3800000,3800000
2477,118.076,8.1,7.96,8.36,470000,470000
3201,118.0853,9.47,9.39,9.67,640000,640000
711,118.9042,2.33,1.93,2.53,1400000,1400000
1017,118.9042,2.73,2.53,2.81,1800000,1800000
4522,118.9422,12.36,12.16,12.53,270000,270000
4359,118.9987,11.96,11.84,12.19,1200000,1200000
3905,119.0237,11.01,10.9,11.15,780000,780000
3059,119.035,9.15,8.73,10.21,41000000,41000000
3202,119.0544,9.47,9.34,10.33,9700000,9700000
4010,120.0126,11.18,10.93,11.44,870000,870000
3095,120.0384,9.18,8.73,9.3,1700000,1700000
3235,120.0553,9.53,9.37,9.73,1300000,1300000
1018,120.9013,2.73,2.53,2.81,610000,610000
3878,120.981,10.95,10.84,11.13,1900000,1900000
1899,122.8942,6.28,6.08,6.4,100000,100000
3584,122.9854,10.27,10.19,10.47,1100000,1100000
3300,123.9713,9.65,9.53,9.76,400000,400000
5229,124.0017,14.5,14.11,15.19,14000000,14000000
1845,124.9841,6.19,6.05,6.42,110000,110000
2704,124.9915,8.5,7.93,8.84,1700000,1700000
3150,125.0012,9.37,9.3,9.5,470000,470000
5385,125.0051,14.7,14.67,15.07,340000,340000
3282,125.0108,9.62,9.5,9.96,3400000,3400000
3283,126.0032,9.62,9.47,10.01,6300000,6300000
3284,126.0117,9.62,9.5,9.93,910000,910000
2705,126.0198,8.53,8.41,8.64,670000,670000
4799,126.0562,13.22,12.99,13.39,380000,380000
4218,126.4981,11.76,11.64,11.87,180000,180000
1808,126.9051,5.96,5.76,6.42,1000000,1000000
1321,126.936,3.36,3.21,3.56,210000,210000
5173,127.0014,14.45,14.08,15.39,85000000,85000000
1634,127.0336,4.64,4.44,4.87,150000,150000
3353,127.0514,9.79,9.67,10.07,18000000,18000000
1201,127.0765,3.01,2.78,3.58,480000,480000
2668,127.9975,8.41,8.3,8.53,750000,750000
931,128.0103,2.67,2.56,2.76,2900000,2900000
2496,128.0103,8.13,7.9,8.27,2000000,2000000
1291,128.0177,3.27,3.18,3.87,240000,240000
3369,128.0547,9.82,9.7,10.04,1100000,1100000
2669,128.0742,8.41,8.27,8.67,940000,940000
3151,128.8922,9.37,9.24,9.53,950000,950000
1327,128.9331,3.38,3.21,3.56,110000,110000
4550,129.0195,12.47,12.36,12.7,6900000,6900000
2612,129.0324,8.36,8.24,8.76,1100000,1100000
2646,129.0387,8.39,8.24,8.84,16000000,16000000
2683,129.0416,8.44,8.27,8.53,260000,260000
1019,129.0557,2.73,2.7,3.44,1200000000,1200000000
1216,129.0578,3.04,2.95,3.13,130000,130000
1667,130.0228,4.82,4.64,5.59,480000,480000
4584,130.0228,12.5,12.3,12.81,380000,380000
3061,130.051,9.15,9.07,9.96,7300000,7300000
3832,130.0511,10.84,10.7,11.07,5800000,5800000
1020,130.0591,2.73,2.7,3.47,79000000,79000000
3133,130.0622,9.34,9.13,9.65,24000000,24000000
2059,130.0651,6.82,6.74,7.05,250000,250000
2271,130.0902,7.53,7.5,7.79,230000,230000
2061,130.1099,6.82,6.74,7.05,310000,310000
2084,130.1271,6.88,6.65,7.08,1200000,1200000
2208,130.1271,7.28,7.08,7.7,790000,790000
3152,130.8892,9.37,9.24,9.65,1400000,1400000
2478,131.0099,8.1,7.56,8.27,820000,820000
3097,131.035,9.18,8.73,9.84,16000000,16000000
3730,131.0351,10.56,9.84,10.76,6100000,6100000
3844,131.0351,10.87,10.76,11.01,1600000,1600000
3474,131.0463,10.01,9.65,10.3,16000000,16000000
2105,131.0543,6.91,6.74,7.08,340000,340000
3134,131.0656,9.34,9.18,9.5,1100000,1100000
1122,131.0714,2.87,2.78,3.67,1200000,1200000
3531,131.0827,10.13,10.04,10.27,740000,740000
4886,131.0827,13.53,13.33,14.33,4600000,4600000
2074,131.0844,6.85,6.68,7.11,1300000,1300000
2209,131.0845,7.28,7.11,7.76,1000000,1000000
2085,131.0907,6.88,6.6,7.08,22000000,22000000
2177,131.0908,7.19,7.08,8.41,15000000,15000000
2062,131.0935,6.82,6.65,7.05,680000,680000
3702,131.9906,10.5,10.41,10.61,620000,620000
1907,132.0125,6.31,5.88,7.25,2100000,2100000
3006,132.0303,9.04,8.93,9.39,19000000,19000000
4275,132.0303,11.79,11.67,11.87,3000000,3000000
3731,132.0382,10.56,10.41,10.78,300000,300000
3062,132.0384,9.15,8.76,9.3,700000,700000
3704,132.0413,10.5,10.38,10.61,350000,350000
3467,132.0496,9.99,9.9,10.1,660000,660000
3705,132.071,10.5,10.41,10.64,650000,650000
4887,132.0861,13.53,13.39,13.82,220000,220000
3153,132.8679,9.37,9.24,10.04,2500000,2500000
4099,132.9741,11.47,11.36,11.64,830000,830000
3685,133.0274,10.47,10.38,10.67,880000,880000
3686,133.0337,10.47,10.36,10.73,11000000,11000000
4276,133.0337,11.79,11.64,11.87,140000,140000
4106,133.0554,11.47,11.33,11.64,1100000,1100000
1525,133.9918,3.99,3.87,4.36,190000,190000
4107,134.0177,11.47,11.33,12.16,15000000,15000000
4108,134.0205,11.47,11.36,11.64,310000,310000
3687,134.0346,10.47,10.38,10.67,2000000,2000000
1551,134.0473,4.13,3.99,4.36,620000,620000
2359,135.0271,7.73,7.53,8.36,2500000,2500000
3135,135.03,9.34,9.15,9.79,65000000,65000000
2615,136.0075,8.36,8.24,8.53,270000,270000
4091,136.0219,11.44,11.36,11.58,140000,140000
3169,136.0333,9.39,9.15,9.7,2700000,2700000
2616,136.8631,8.36,8.19,8.56,240000,240000
3170,136.8631,9.39,9.3,10.07,780000,780000
1123,137.0833,2.87,2.81,3.24,420000,420000
1163,138.0561,2.95,2.87,3.27,290000,290000
4527,138.9708,12.39,12.16,12.59,3100000,3100000
5386,139.9757,14.7,14.59,15.25,560000,560000
2982,139.9846,8.98,8.84,9.15,1800000,1800000
3801,140.0119,10.73,10.67,10.9,260000,260000
5206,140.9732,14.48,14.11,15.33,2800000,2800000
3063,141.0045,9.15,8.73,9.21,2400000,2400000
5364,141.0132,14.65,14.53,14.76,2100000,2100000
5208,141.0618,14.48,14.08,15.42,3600000,3600000
1929,141.8681,6.4,6.02,6.51,110000,110000
2960,142.0052,8.93,8.76,9.18,420000,420000
5097,143.0212,14.39,14.05,15.48,9400000,9400000
5298,143.0236,14.59,14.08,15.16,860000,860000
3064,143.035,9.15,8.7,10.64,29000000,29000000
1444,143.0715,3.64,3.5,3.76,470000,470000
1923,143.8652,6.37,6.02,6.51,85000,85000
1886,143.9915,6.25,5.85,6.6,250000,250000
1691,144.0126,4.99,4.67,5.88,3600000,3600000
489,144.0456,1.87,1.82,2.7,980000,980000
2178,144.0667,7.19,6.99,7.76,2000000,2000000
3203,144.0667,9.47,9.42,9.62,610000,610000
4442,144.9585,12.24,12.19,12.39,85000,85000
1600,145.0144,4.47,4.3,5.07,890000,890000
3354,145.0162,9.79,9.67,10.04,1600000,1600000
3370,145.035,9.82,9.73,9.96,590000,590000
3358,145.1086,9.79,9.67,10.07,2200000,2200000
5006,145.1451,13.96,13.82,14.08,160000,160000
2738,145.9996,8.59,8.47,8.73,200000,200000
3612,145.9998,10.33,10.24,10.5,1600000,1600000
4076,146.0177,11.33,11.21,11.5,3600000,3600000
1575,146.0282,4.24,3.93,4.99,6000000,6000000
3964,146.0283,11.13,10.9,11.3,1800000,1800000
3616,146.0551,10.33,10.27,10.44,470000,470000
3373,146.059,9.82,9.65,10.1,4900000,4900000
2121,146.0823,6.94,6.48,7.59,3300000,3300000
2961,146.0823,8.93,8.5,9.18,880000,880000
3617,146.0931,10.33,10.24,10.5,2200000,2200000
2741,146.0932,8.59,8.44,8.73,270000,270000
4993,146.0954,13.93,13.79,14.13,610000,610000
3126,146.8668,9.32,9.24,9.56,890000,890000
4970,146.9467,13.91,13.79,14.02,69000,69000
1914,146.966,6.34,5.62,7.02,8900000,8900000
4077,147.0186,11.33,11.21,11.44,740000,740000
3965,147.03,11.13,10.98,11.33,13000000,13000000
4800,147.03,13.22,13.1,13.36,1400000,1400000
2755,147.043,8.61,8.47,8.73,360000,360000
3629,147.043,10.36,10.21,10.5,2500000,2500000
2039,147.0452,6.8,6.42,7.19,2400000,2400000
2742,147.0493,8.59,8.33,8.96,5100000,5100000
1900,147.963,6.28,5.99,6.57,63000,63000
1970,148.0074,6.68,6.48,7.05,860000,860000
1561,148.024,4.19,3.96,4.93,270000,270000
3822,148.0334,10.81,10.67,10.95,400000,400000
3966,148.0334,11.13,10.95,11.3,660000,660000
2314,148.092,7.67,7.62,7.82,130000,130000
1908,148.9702,6.31,5.96,6.6,130000,130000
4360,149.0093,11.96,11.87,12.13,760000,760000
2361,149.0433,7.73,7.59,7.87,370000,370000
3066,149.0456,9.15,8.53,9.39,11000000,11000000
3236,149.0456,9.53,9.39,10.1,5400000,5400000
2362,149.0472,7.73,7.59,7.99,2300000,2300000
542,149.0609,1.9,1.76,1.99,4700000,4700000
1021,149.0609,2.73,1.99,2.95,1900000,1900000
1202,149.0609,3.01,2.95,3.27,260000,260000
2983,150.0231,8.98,8.93,9.13,380000,380000
2332,150.0396,7.7,7.53,8.24,2100000,2100000
3067,150.049,9.15,8.81,9.24,710000,710000
1140,150.0561,2.93,2.84,3.96,1800000,1800000
2400,151.0613,7.82,7.56,8.3,3300000,3300000
3906,151.5197,11.01,10.9,11.1,340000,340000
2274,152.0024,7.56,7.39,7.87,9400000,9400000
3585,152.0024,10.27,10.16,10.5,6300000,6300000
1959,152.0232,6.65,6.42,6.82,490000,490000
1993,152.0295,6.71,6.4,7.08,1700000,1700000
2401,152.0646,7.82,7.73,8.04,230000,230000
4318,152.7873,11.9,11.79,12.04,250000,250000
1280,152.9864,3.24,3.1,3.64,290000,290000
4278,152.9864,11.79,11.5,12.16,930000,930000
2942,152.9959,8.9,8.76,9.1,2200000,2200000
2292,153.0057,7.62,7.45,7.82,370000,370000
3021,153.017,9.1,8.9,9.15,360000,360000
1428,153.9817,3.61,3.44,3.96,180000,180000
2282,153.9982,7.59,7.47,7.93,510000,510000
2462,153.9982,8.07,7.99,8.27,220000,220000
3733,154.0123,10.56,10.44,10.67,360000,360000
3603,154.0276,10.3,10.19,11.01,2100000,2100000
3204,154.0277,9.47,9.37,9.67,2500000,2500000
3238,154.0623,9.53,9.39,10.33,70000000,70000000
3205,154.0874,9.47,8.93,9.99,4900000,4900000
4726,154.9657,12.9,12.76,13.19,1800000,1800000
3127,155.0117,9.32,9.24,9.7,3300000,3300000
3239,155.0656,9.53,9.45,9.84,4600000,4600000
3475,155.0656,10.01,9.84,10.1,470000,470000
2594,155.979,8.33,8.19,8.56,290000,290000
3206,156.0248,9.47,9.42,9.67,830000,830000
3833,156.0303,10.84,10.73,11.1,860000,860000
3240,156.0665,9.53,9.47,9.7,470000,470000
3171,156.9124,9.39,9.3,10.78,2700000,2700000
4727,156.9614,12.9,12.81,13.02,70000,70000
5365,156.9909,14.65,13.99,15.59,95000000,95000000
3122,157.0087,9.3,9.24,9.47,910000,910000
2497,157.0119,8.13,7.87,8.39,360000,360000
2877,157.0256,8.79,8.64,8.9,390000,390000
1972,157.0273,6.68,6.37,6.74,200000,200000
2421,157.0368,7.9,7.7,8.41,15000000,15000000
465,157.1234,1.82,1.33,2.04,1100000,1100000
5387,157.9943,14.7,14.02,15.56,4100000,4100000
2422,158.0338,7.9,7.79,8.04,240000,240000
1348,158.0361,3.47,3.44,3.61,200000,200000
2430,158.0401,7.93,7.79,8.13,680000,680000
3262,158.8468,9.59,9.21,9.7,1700000,1700000
2617,158.9786,8.36,7.76,8.61,3100000,3100000
5366,158.9891,14.65,13.96,15.56,7200000,7200000
5388,158.9952,14.7,14.56,15.33,760000,760000
4136,159.0107,11.5,11.33,11.64,200000,200000
4841,159.114,13.3,13.19,13.45,110000,110000
2618,159.9794,8.36,8.16,8.56,450000,450000
5420,159.9924,14.82,14.79,15.19,210000,210000
4062,160.0253,11.27,11.13,11.38,670000,670000
1269,160.0439,3.21,3.01,3.76,3800000,3800000
