"peak_id","medMz","medRt","log10_inten","class","formula","ppm_error","annotation"
86,664.4945,2.03,5.14,"Putative metabolite","C38H69N2O5P1",-0.14,"PS(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C44H74N1O10P1 + H3N1O-1 -> C44H77N2O9P1 + C1O2 -> C45H77N2O11P1 + H2O1 -> C45H79N2O12P1 - C6H10O5 -> C39H69N2O7P1 - C1O2 -> C38H69N2O5P1"
87,612.49,2.03,4.91,"Putative metabolite","C43H64O2",1.03,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) C45H66O5 - C1H2O1 -> C44H64O4 - C1O2 -> C43H64O2"
88,378.0775,2.03,4.84,"Putative metabolite","C18H18O7S1",-0.47,"3-hydroxy-2-(3-methoxyphenyl)-5-sulfino-3,4-dihydro-2H-1-benzopyran-7-olate C16H16O6S1 + C2H2O1 -> C18H18O7S1"
89,557.4081,2.03,4.55,"Artifact","C34H55N1O5",-0.14,"22-Acetylpriverogenin B C32H52O5 + C2H3N1 -> C34H55N1O5"
90,412.1306,2.03,4.51,"Artifact","C18H24N2O7S1",-0.43,"Peak 88 C18H18O7S1 + H3N1 -> C18H21N1O7S1 + H3N1 -> C18H24N2O7S1"
91,597.4541,2.03,4.36,"Artifact","C41H59N1O2",0.8,"Germanicol cinnamate C39H56O2 + C2H3N1 -> C41H59N1O2"
92,215.0283,2.03,3.62,"Unknown","Unknown",0.1,"Unknown"
93,369.3477,2.03,4.74,"Artifact","[13]C1C26H44",-0.12,"Peak 66 C27H44 + [13]C1C-1 -> [13]C1C26H44"
94,372.099,2.03,4.65,"Putative metabolite","C15H20N2O7S1",0.33,"N-(4-aminobutyl)-3-[4-hydroxy-3-(sulfooxy)phenyl]prop-2-enimidic acid C13H18N2O6S1 + C2H2O1 -> C15H20N2O7S1"
95,338.0461,2.03,4.97,"Metabolite","C15H14O7S1",-0.23,"2-(3,4-dihydroxyphenyl)-3-hydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-7-olate C15H14O7S1"
96,563.374,2.03,4.36,"Unknown","Unknown",0.02,"Unknown"
97,665.4982,2.03,4.77,"Unknown","Unknown",-0.07,"Unknown"
98,418.2336,2.03,4.33,"Unknown","Unknown",-0.08,"Unknown"
99,613.4933,2.03,4.64,"Unknown","Unknown",0.05,"Unknown"
100,400.225,2.03,4.12,"Metabolite","C24H32O5",-0.06,"Nevskin C24H32O5"
101,592.4091,2.03,4.59,"Artifact","B1C40H53O3",-0.55,"Cryptochrome C40H56O3 + B1H-3 -> B1C40H53O3"
102,439.1608,2.03,4.63,"Artifact","[13]C1C18H26N4O6S1",-0.32,"Peak 85 C19H26N4O6S1 + [13]C1C-1 -> [13]C1C18H26N4O6S1"
103,584.4261,2.03,4,"Putative metabolite","C29H56N6O6",0.06,"Deferoxamine C25H48N6O8 - C1O2 -> C24H48N6O6 + C5H8 -> C29H56N6O6"
104,496.3192,2.03,4.21,"Putative metabolite","C31H44O5",-0.66,"O-Desmethylangolensin C15H14O4 + C16H30O1 -> C31H44O5"
105,257.1134,2.03,4.1,"Unknown","Unknown",0.08,"Unknown"
106,446.1287,2.03,3.76,"Putative metabolite","C16H22N4O11",-0.43,"Aspartyl-Histidine C10H14N4O5 + C6H8O6 -> C16H22N4O11"
107,547.3794,2.04,5.25,"Unknown","Unknown",0.08,"Unknown"
108,683.389,2.04,4.41,"Unknown","Unknown",0.04,"Unknown"
109,396.1073,2.04,5.03,"Artifact","[13]C1C17H21N1O7S1",-0.18,"Peak 88 C18H18O7S1 + H3N1 -> C18H21N1O7S1 + [13]C1C-1 -> [13]C1C17H21N1O7S1"
110,336.0669,2.04,3.84,"Artifact","Ring_artifact_C21H36O3",0.03,"Pregnanetriol C21H36O3 + Ring_artifact -> Ring_artifact_C21H36O3"
111,543.3925,2.04,4.21,"Artifact","C33H53N1O5",-0.23,"22-Acetylpriverogenin B C32H52O5 + C1H1N1 -> C33H53N1O5"
112,440.2639,2.04,4.17,"Artifact","[13]C1C25H35N2O4",-1.96,"O-Desmethylverapamil (D-702) C26H36N2O4 - H1 -> C26H35N2O4 + [13]C1C-1 -> [13]C1C25H35N2O4"
113,354.0966,2.04,4.17,"Artifact","[13]C1C15H19N1O6S1",0.18,"4-Hydroxybenzyl isothiocyanate 4''-acetylrhamnoside C16H19N1O6S1 + [13]C1C-1 -> [13]C1C15H19N1O6S1"
114,271.0563,2.04,3.95,"Artifact","[13]C1C14H10O5",-0.45,"Emodin C15H10O5 + [13]C1C-1 -> [13]C1C14H10O5"
115,591.4055,2.04,5.01,"Unknown","Unknown",0.01,"Unknown"
116,395.1039,2.04,5.8,"Artifact","C18H21N1O7S1",-0.07,"Peak 88 C18H18O7S1 + H3N1 -> C18H21N1O7S1"
117,405.2879,2.04,4.75,"Putative metabolite","C24H39N1O4",0.02,"N-Arachidonoyl GABA C24H39N1O3 + O1 -> C24H39N1O4"
118,333.1724,2.04,4.6,"Putative metabolite","C14H27N3O4S1",-0.52,"Alitame C14H25N3O4S1 + H2 -> C14H27N3O4S1"
119,528.4176,2.04,4.49,"Putative metabolite","C34H56O4",0.49,"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid C18H26O3 + C16H30O1 -> C34H56O4"
120,400.0593,2.04,4.37,"Artifact","C18H17Na1O7S1",-0.08,"Peak 88 C18H18O7S1 + H-1Na1 -> C18H17Na1O7S1"
121,542.433,2.04,4.11,"Putative metabolite","C35H58O4",0.94,"DG(14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) C37H60O5 - C2H2O1 -> C35H58O4"
122,441.3237,2.04,5.82,"Putative metabolite","C28H43N1O3",1.35,"N-Docosahexaenoyl GABA C26H39N1O3 + C2H4 -> C28H43N1O3"
123,533.3638,2.04,3.98,"Unknown","Unknown",-0.08,"Unknown"
124,406.2914,2.04,4.09,"Artifact","[13]C1C23H39N1O4",-0.34,"Peak 117 C24H39N1O4 + [13]C1C-1 -> [13]C1C23H39N1O4"
125,529.3771,2.05,4.24,"Putative metabolite","C32H51N1O5",-0.71,"Daphniphylline C32H49N1O5 + H2 -> C32H51N1O5"
126,318.1834,2.05,4.33,"Metabolite","C19H26O4",-0.91,"Ubiquinone-2 C19H26O4"
127,391.2724,2.05,4.68,"Artifact","C23H37N1O4",-0.36,"Peak 292 C24H39N1O5 - C1H2O1 -> C23H37N1O4"
128,501.3454,2.05,4.23,"Artifact","C30H47N1O5",0.05,"Peak 122 C28H43N1O3 + C2H4O2 -> C30H47N1O5"
129,412.1024,2.05,3.93,"Artifact","[13]C1C17H21N1O8S1",-0.63,"Peak 171 C18H21N1O8S1 + [13]C1C-1 -> [13]C1C17H21N1O8S1"
130,657.5195,2.05,4.55,"Unknown","Unknown",0.03,"Unknown"
131,356.0761,2.05,4.2,"Artifact","Ring_artifact_C15H20N2O6S1",-0.01,"Peak 234 C15H20N2O6S1 + Ring_artifact -> Ring_artifact_C15H20N2O6S1"
132,564.3782,2.05,3.9,"Metabolite","C29H57O8P1",1.6,"PA(8:0/18:0) C29H57O8P1"
133,548.3827,2.05,4.79,"Putative metabolite","C31H52N2O6",-0.3,"gamma-Chaconine C33H53N1O6 - C2H4 -> C31H49N1O6 + H3N1 -> C31H52N2O6"
134,357.2336,2.05,4.57,"Putative metabolite","B1C18H28N5O2",0.02,"Bortezomib B1C19H25N4O4 + H3N1 -> B1C19H28N5O4 - C1O2 -> B1C18H28N5O2"
135,544.4124,2.05,4.21,"Artifact","C34H56O5",0.69,"3beta-Acetoxy-19alpha-hydroxy-12-ursene C32H52O3 + C2H4O2 -> C34H56O5"
136,424.2243,2.05,4.32,"Artifact","C18H36N2O7S1",0.05,"Peak 277 C16H32N2O5S1 + C2H4O2 -> C18H36N2O7S1"
137,480.2128,2.05,4.2,"Artifact","[13]C1C30H29N1O4",0.44,"Peak 194 C31H29N1O4 + [13]C1C-1 -> [13]C1C30H29N1O4"
138,669.3733,2.05,4.1,"Unknown","Unknown",-0.03,"Unknown"
139,428.1257,2.05,3.67,"Artifact","C18H24N2O8S1",-0.85,"Peak 171 C18H21N1O8S1 + H3N1 -> C18H24N2O8S1"
140,377.1985,2.06,4.61,"Artifact","C16H31N3O5S1",-0.15,"Peak 238 C14H28N2O5S1 + C2H3N1 -> C16H31N3O5S1"
141,322.0512,2.06,6.53,"Metabolite","C15H14O6S1",-0.28,"3-(3,7-dihydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-2-yl)benzen-1-olate C15H14O6S1"
142,323.0545,2.06,5.73,"Artifact","[13]C1C14H14O6S1",-0.11,"3-(3,7-dihydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-2-yl)benzen-1-olate C15H14O6S1 + [13]C1C-1 -> [13]C1C14H14O6S1"
143,557.2855,2.06,5.3,"Artifact","[13]C1C26H44N2O8S1",-0.55,"Peak 184 C27H44N2O8S1 + [13]C1C-1 -> [13]C1C26H44N2O8S1"
144,436.2607,2.06,5.31,"Putative metabolite","C28H36O4",1.51,"cis-Methylbixin C26H32O4 + C2H4 -> C28H36O4"
145,132.0576,2.06,4.96,"Metabolite","C9H8O1",-0.64,"Cinnamaldehyde C9H8O1"
146,358.1,2.06,4.72,"Artifact","[34]S1C15H20N2O6",0.01,"Peak 234 C15H20N2O6S1 + [34]S1S-1 -> [34]S1C15H20N2O6"
147,345.0364,2.06,4.69,"Artifact","[13]C1C14H13Na1O6S1",0.02,"3-(3,7-dihydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-2-yl)benzen-1-olate C15H14O6S1 + [13]C1C-1 -> [13]C1C14H14O6S1 + H-1Na1 -> [13]C1C14H13Na1O6S1"
148,469.1885,2.06,4.64,"Putative metabolite","C21H31N3O7S1",-0.49,"2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-{[2-hydroxy-1-(4-methoxyphenyl)-3-oxopentyl]sulfanyl}ethyl}-C-hydroxycarbonimidoyl)butanoic acid C22H31N3O9S1 - C1O2 -> C21H31N3O7S1"
149,264.0763,2.06,4.58,"Artifact","C15H13Na1O3",-0.23,"Equol C15H14O3 + H-1Na1 -> C15H13Na1O3"
150,620.4681,2.06,4.64,"Putative metabolite","C34H68O7S1",0.77,"Cer(d18:0/16:0) C34H69N1O3 + O3S1 -> C34H69N1O6S1 + H-1N-1O1 -> C34H68O7S1"
151,417.2883,2.06,3.87,"Putative metabolite","C25H39N1O4",-0.94,"N-Arachidonoyl GABA C24H39N1O3 + C1O1 -> C25H39N1O4"
152,397.0999,2.06,4.36,"Artifact","[34]S1C18H21N1O7",-0.58,"Peak 88 C18H18O7S1 + H3N1 -> C18H21N1O7S1 + [34]S1S-1 -> [34]S1C18H21N1O7"
153,370.1756,2.06,3.69,"Artifact","C20H27Na1O5",0.05,"Gibberellin A110 C20H28O5 + H-1Na1 -> C20H27Na1O5"
154,325.0503,2.06,4.33,"Artifact","[13]C1[34]S1C14H14O6",-0.12,"3-(3,7-dihydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-2-yl)benzen-1-olate C15H14O6S1 + [13]C1C-1 -> [13]C1C14H14O6S1 + [34]S1S-1 -> [13]C1[34]S1C14H14O6"
155,454.1971,2.06,4.41,"Artifact","C24H31Na1O7",-0.77,"Euglobal Ia1 C23H30O5 + C1H1Na1O2 -> C24H31Na1O7"
156,362.0631,2.06,4.32,"Artifact","[13]C1C14H16N1Na1O6S1",-0.39,"3-(3,7-dihydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-2-yl)benzen-1-olate C15H14O6S1 + [13]C1C-1 -> [13]C1C14H14O6S1 + H-1Na1 -> [13]C1C14H13Na1O6S1 + H3N1 -> [13]C1C14H16N1Na1O6S1"
157,306.1062,2.06,3.85,"Artifact","[13]C1C16H16N1Na1O3",-0.19,"Equol C15H14O3 + H-1Na1 -> C15H13Na1O3 + C2H3N1 -> C17H16N1Na1O3 + [13]C1C-1 -> [13]C1C16H16N1Na1O3"
158,439.1778,2.06,4.16,"Artifact","C20H29N3O6S1",-0.21,"Peak 148 C21H31N3O7S1 - C1H2O1 -> C20H29N3O6S1"
159,367.332,2.06,4.09,"Unknown","Unknown",-0.03,"Unknown"
160,542.2666,2.06,4.25,"Artifact","C34H38O6",0.44,"Peak 268 C33H34O5 + C1H4O1 -> C34H38O6"
161,339.0777,2.06,6.71,"Artifact","C15H17N1O6S1",-0.12,"3-(3,7-dihydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-2-yl)benzen-1-olate C15H14O6S1 + H3N1 -> C15H17N1O6S1"
162,254.058,2.06,4.91,"Artifact","C15H10O4",-0.36,"Biochanin A C16H12O5 - C1H2O1 -> C15H10O4"
163,341.0734,2.06,5.34,"Artifact","[34]S1C15H17N1O6",0.16,"3-(3,7-dihydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-2-yl)benzen-1-olate C15H14O6S1 + H3N1 -> C15H17N1O6S1 + [34]S1S-1 -> [34]S1C15H17N1O6"
164,392.2344,2.06,5.32,"Putative metabolite","C18H36N2O5S1",0.24,"Lincomycin C18H34N2O6S1 + H2 -> C18H36N2O6S1 - O1 -> C18H36N2O5S1"
