"peak_id","medMz","medRt","log10_inten","class","formula","ppm_error","annotation"
70,165.0789,8.83,7.17,"Metabolite","C9H11N1O2",0.48,"L-Phenylalanine C9H11N1O2"
71,165.0789,13.39,5.38,"Metabolite","C9H11N1O2",0.48,"L-Phenylalanine C9H11N1O2"
72,242.0803,4.24,7.02,"Putative metabolite","C12H18O1S2",-1.62,"2,5-Dimethyl-3-(methyldithio)furan C7H10O1S2 + C5H8 -> C12H18O1S2"
73,242.0795,2.37,6.37,"Artifact","C8.5H12.5N4O3.5P0.5",-1.28,"No edge connections."
74,166.0628,4.2,7.1,"Metabolite","C9H10O3",1.17,"3-(3-Hydroxyphenyl)propanoic acid C9H10O3"
75,166.0628,2.85,6.63,"Metabolite","C9H10O3",1.17,"3-(3-Hydroxyphenyl)propanoic acid C9H10O3"
76,350.1914,13.65,7.08,"Artifact","C12H26N6O6",-0.05,"Citrulline C6H13N3O3 * 2 -> C12H26N6O6"
77,310.2872,2.41,7.05,"Metabolite","C20H38O2",-0.06,"11Z-Eicosenoic acid C20H38O2"
78,249.0872,2.35,7.05,"Artifact","C12H17O3.5S1",0.39,"No edge connections."
79,249.0872,3.31,5.59,"Artifact","C11.5H15O6",-1.35,"Eucaglobulin C23H30O12 / 2 -> C11.5H15O6"
80,123.04,4.21,7.08,"Artifact","[13]C1C6H6O2",1.09,"Benzoic acid C7H6O2 + [13]C1C-1 -> [13]C1C6H6O2"
81,123.0401,2.93,6.16,"Unknown","Unknown",-0.19,"Unknown"
82,207.1703,2.58,7.02,"Artifact","[13]C1C13H22O1",0.58,"4-(1,1,3,3-Tetramethylbutyl)-phenol C14H22O1 + [13]C1C-1 -> [13]C1C13H22O1"
83,152.0472,2.92,7.13,"Metabolite","C8H8O3",0.95,"p-Hydroxyphenylacetic acid C8H8O3"
84,340.2072,2.07,7.02,"Putative metabolite","C19H32O3S1",0.05,"N-Undecylbenzenesulfonic acid C17H28O3S1 + C2H4 -> C19H32O3S1"
85,270.2559,2.46,6.99,"Metabolite","C17H34O2",-0.07,"Heptadecanoic acid C17H34O2"
86,147.0721,13.39,7.03,"Artifact","[13]C1C4H10N2O3",2.7,"L-Glutamine C5H10N2O3 + [13]C1C-1 -> [13]C1C4H10N2O3"
87,188.0796,11.29,7.01,"Artifact","C7H12N2O4",0.57,"Peak 3989 C14H24N4O8 / 2 -> C7H12N2O4"
88,331.8773,13.87,7.02,"Artifact","C4H7K3O8S1",-0.05,"KHSO4 H1K1O4S1 + C2H3K1O2 + C2H3K1O2 -> C4H7K3O8S1"
89,255.9751,13.9,6.98,"Artifact","C6H10K2O6",0.2,"CH3COOK C2H3K1O2 + C2H4O2 + C2H3K1O2 -> C6H10K2O6"
90,182.079,11.81,7.02,"Metabolite","C6H14O6",0.21,"Galactitol C6H14O6"
91,175.1148,16.77,7.02,"Artifact","[13]C1C5H14N4O2",1.32,"L-Arginine C6H14N4O2 + [13]C1C-1 -> [13]C1C5H14N4O2"
92,612.1521,14.19,6.98,"Metabolite","C20H32N6O12S2",-0.23,"Oxidized glutathione C20H32N6O12S2"
93,564.5118,2.44,6.88,"Metabolite","C36H68O4",-0.07,"FAHFA(18:1(9Z)/12-O-18:0) C36H68O4"
94,183.0167,13.42,6.95,"Putative metabolite","C7H5N1O5",0.39,"4-Nitrophenol C6H5N1O3 + C1O2 -> C7H5N1O5"
95,159.0013,13.89,6.96,"Artifact","[13]C1C3H7K1O4",1.23,"CH3COOK C2H3K1O2 + C2H4O2 + [13]C1C-1 -> [13]C1C3H7K1O4"
96,224.0356,2.57,6.82,"Putative metabolite","C7H12O6S1",-0.63,"Quinic acid C7H12O6 + S1 -> C7H12O6S1"
97,136.0524,4.21,6.92,"Metabolite","C8H8O2",0.22,"Phenylacetic acid C8H8O2"
98,136.0524,2.88,6.22,"Artifact","C8H8O2",0.22,"3-(3-Hydroxyphenyl)propanoic acid C9H10O3 - C1H2O1 -> C8H8O2"
99,258.1831,2.63,6.92,"Metabolite","C14H26O4",0.04,"Tetradecanedioic acid C14H26O4"
100,258.1831,4.07,5.96,"Metabolite","C14H26O4",0.04,"Tetradecanedioic acid C14H26O4"
101,176.0796,11.3,6.93,"Artifact","C6H12N2O4",0.61,"L-2-Amino-4-methylenepentanedioic acid C6H9N1O4 + H3N1 -> C6H12N2O4"
102,176.0795,12.17,5.2,"Metabolite","C6H12N2O4",1.18,"Alanyl-Serine C6H12N2O4"
103,177.0458,7.14,6.96,"Metabolite","C6H11N1O3S1",0.93,"N-Formyl-L-methionine C6H11N1O3S1"
104,233.9001,13.86,6.91,"Artifact","C2H4K2O6S1",0.74,"KHSO4 H1K1O4S1 + C2H3K1O2"
105,128.0585,13.38,6.9,"Metabolite","C5H8N2O2",0.61,"Dihydrothymine C5H8N2O2"
106,132.0534,13.4,6.91,"Metabolite","C4H8N2O3",0.7,"Ureidopropionic acid C4H8N2O3"
107,132.0534,12.53,5.21,"Metabolite","C4H8N2O3",0.7,"Ureidopropionic acid C4H8N2O3"
108,176.0988,13.64,6.89,"Artifact","[13]C1C5H13N3O3",1.4,"Citrulline C6H13N3O3 + [13]C1C-1 -> [13]C1C5H13N3O3"
109,298.1602,2.1,6.87,"Putative metabolite","C16H26O3S1",0.22,"N-Undecylbenzenesulfonic acid C17H28O3S1 - C1H2 -> C16H26O3S1"
110,175.0843,12.24,6.89,"Metabolite","C7H13N1O4",0.9,"N-Carboxyethyl-g-aminobutyric acid C7H13N1O4"
111,175.0843,11.24,5.04,"Metabolite","C7H13N1O4",0.9,"N-Carboxyethyl-g-aminobutyric acid C7H13N1O4"
112,132.0786,4.21,6.83,"Metabolite","C6H12O3",0.33,"2-Hydroxy-3-methylpentanoic acid C6H12O3"
113,132.0786,2.94,6,"Metabolite","C6H12O3",0.33,"2-Hydroxy-3-methylpentanoic acid C6H12O3"
114,309.8024,13.85,6.83,"Artifact","H1K3O8S2",0.01,"KHSO4 H1K1O4S1 + H2O4S1 + H-2K2 -> H1K3O8S2"
115,243.0871,13.59,6.85,"Putative metabolite","C7H18N1O6P1",0.3,"Glycerylphosphorylethanolamine C5H14N1O6P1 + C2H4 -> C7H18N1O6P1"
116,243.0871,14.35,6.56,"Artifact","C7H18N1O6P1",0.3,"Phosphorylcholine C5H14N1O4P1 + C2H4O2 -> C7H18N1O6P1"
117,243.0871,13.08,5.46,"Putative metabolite","C7H18N1O6P1",0.3,"Glycerylphosphorylethanolamine C5H14N1O6P1 + C2H4 -> C7H18N1O6P1"
118,243.0855,9.27,5.45,"Metabolite","C9H13N3O5",0.08,"Cytidine C9H13N3O5"
119,117.087,4.23,6.77,"Artifact","[13]C1C5H12O2",0.72,"Caproic acid C6H12O2 + [13]C1C-1 -> [13]C1C5H12O2"
120,117.087,3.01,6.18,"Artifact","[13]C1C5H12O2",0.72,"Caproic acid C6H12O2 + [13]C1C-1 -> [13]C1C5H12O2"
121,246.9782,13.51,6.82,"Artifact","C5Cr1H9N1O7",0.85,"L-Glutamic acid C5H9N1O4 + Cr1O3 -> C5Cr1H9N1O7"
122,258.247,2.47,6.76,"Artifact","[13]C2C14H32O2",-0.23,"Palmitic acid C16H32O2 + [13]C1C-1 -> [13]C1C15H32O2 + [13]C1C-1 -> [13]C2C14H32O2"
123,136.0385,7.66,6.85,"Metabolite","C5H4N4O1",0.08,"Hypoxanthine C5H4N4O1"
124,226.0692,2.84,6.69,"Metabolite","C7H14O8",-1.47,"2,3,4,5,6,7-Hexahydroxyheptanoic acid C7H14O8"
125,222.0673,14.18,6.82,"Metabolite","C7H14N2O4S1",0.58,"L-Cystathionine C7H14N2O4S1"
126,348.2233,16.77,6.82,"Artifact","C12H28N8O4",0.15,"L-Arginine C6H14N4O2 * 2 -> C12H28N8O4"
127,268.2402,2.46,6.74,"Metabolite","C17H32O2",0.11,"Cyclohexaneundecanoic acid C17H32O2"
128,241.0702,2.62,6.23,"Artifact","[13]C1C7H16O6S1",-0.36,"Peak 30 C8H16O6S1 + [13]C1C-1 -> [13]C1C7H16O6S1"
129,342.1162,14.83,6.55,"Metabolite","C12H22O11",0.03,"Melibiose C12H22O11"
130,342.1162,13.88,6.61,"Metabolite","C12H22O11",0.03,"Melibiose C12H22O11"
131,314.2457,2.51,6.72,"Artifact","C18H34O4",0.03,"Hypogeic acid C16H30O2 + C2H4O2 -> C18H34O4"
132,314.2458,4.22,5.96,"Metabolite","C18H34O4",-0.29,"Octadecanedioic acid C18H34O4"
133,440.0837,13.84,6.43,"Artifact","C12H24O15S1",-0.25,"Melibiose C12H22O11 + H2O4S1 -> C12H24O15S1"
134,440.0841,14.83,4.12,"Artifact","C14Ca1H24O13",0.41,"Melibiose C12H22O11 + C2Ca1H2O2 -> C14Ca1H24O13"
135,293.9215,13.86,6.75,"Artifact","C4H8K2O8S1",-0.33,"CH3COOK C2H3K1O2 + C2H4O2 + H1K1O4S1 -> C4H8K2O8S1"
136,271.8464,13.85,6.75,"Artifact","H2K2O8S2",0.45,"KHSO4 H1K1O4S1 + H1K1O4S1"
137,139.0269,13.42,6.75,"Metabolite","C6H5N1O3",0.31,"4-Nitrophenol C6H5N1O3"
138,447.1974,2.78,6.7,"Artifact","[13]C1C23H30O8",0.05,"Estrone glucuronide C24H30O8 + [13]C1C-1 -> [13]C1C23H30O8"
139,378.2439,2.44,6.67,"Artifact","C18H38O6Si1",-0.36,"Oleic acid C18H34O2 + H4O4Si1 -> C18H38O6Si1"
140,538.4959,2.46,6.6,"Metabolite","C34H66O4",0.39,"FAHFA(16:0/9-O-18:0) C34H66O4"
141,105.0426,13.45,6.73,"Metabolite","C3H7N1O3",-0.07,"L-Serine C3H7N1O3"
142,268.0807,8.68,6.75,"Metabolite","C10H12N4O5",0.26,"Inosine C10H12N4O5"
143,300.088,2.65,6.53,"Artifact","C10H20O8S1",-0.37,"Peak 30 C8H16O6S1 + C2H4O2 -> C10H20O8S1"
144,607.0813,13.75,6.65,"Metabolite","C17H27N3O17P2",0.44,"Uridine diphosphate-N-acetylglucosamine C17H27N3O17P2"
145,215.0558,13.62,6.71,"Artifact","C5H14N1O6P1",0.34,"Phosphodimethylethanolamine C4H12N1O4P1 + C1H2O2 -> C5H14N1O6P1"
146,116.928,13.01,6.71,"Unknown","Unknown",-0.2,"Unknown"
147,116.928,13.39,6.71,"Unknown","Unknown",-0.2,"Unknown"
148,266.1881,2.58,6.69,"Artifact","C16H26O3",0.36,"4-(1,1,3,3-Tetramethylbutyl)-phenol C14H22O1 + C2H4O2 -> C16H26O3"
149,162.0527,13.06,6.71,"Metabolite","C6H10O5",0.76,"2-Hydroxyadipic acid C6H10O5"
150,92.04732,7.06,6.71,"Metabolite","C3H8O3",0.26,"Glycerol C3H8O3"
151,306.076,14.19,6.69,"Artifact","C10H16N3O6S1",-0.06,"Oxidized glutathione C20H32N6O12S2 / 2 -> C10H16N3O6S1"
152,566.5275,2.43,6.54,"Metabolite","C36H70O4",-0.16,"FAHFA(18:0/9-O-18:0) C36H70O4"
153,280.2402,2.46,6.64,"Metabolite","C18H32O2",0.11,"Linoleic acid C18H32O2"
154,300.2087,2.51,6.45,"Metabolite","C20H28O2",0.77,"all-trans-Retinoic acid C20H28O2"
155,75.032,13.34,6.69,"Metabolite","C2H5N1O2",0.38,"Glycine C2H5N1O2"
156,75.0319,13.01,6.69,"Metabolite","C2H5N1O2",1.71,"Glycine C2H5N1O2"
157,181.0738,10.76,6.7,"Metabolite","C9H11N1O3",0.51,"L-Tyrosine C9H11N1O3"
158,291.1834,2.56,6.63,"Metabolite","C17H25N1O3",0.15,"Cyclopentolate C17H25N1O3"
159,291.1834,3.81,5.77,"Metabolite","C17H25N1O3",0.15,"Cyclopentolate C17H25N1O3"
160,159.053,11.33,6.66,"Metabolite","C6H9N1O4",0.99,"L-2-Amino-4-methylenepentanedioic acid C6H9N1O4"
161,159.053,13.38,5.55,"Metabolite","C6H9N1O4",0.99,"L-2-Amino-4-methylenepentanedioic acid C6H9N1O4"
162,342.277,2.44,6.63,"Artifact","C20H38O4",0.03,"Oleic acid C18H34O2 + C2H4O2 -> C20H38O4"
163,131.0581,9.04,6.68,"Metabolite","C5H9N1O3",1.09,"4-Hydroxyproline C5H9N1O3"
164,131.0581,12.68,5.38,"Metabolite","C5H9N1O3",1.09,"4-Hydroxyproline C5H9N1O3"
165,165.0649,7.72,6.68,"Metabolite","C6H7N5O1",0.97,"7-Methylguanine C6H7N5O1"
166,165.0636,10.38,4.2,"Putative metabolite","C5H11N1O5",0.74,"L-Glutamic acid C5H9N1O4 + H2O1 -> C5H11N1O5"
167,217.1061,11.3,6.64,"Artifact","C8H15N3O4",0.72,"L-2-Amino-4-methylenepentanedioic acid C6H9N1O4 + H3N1 -> C6H12N2O4 + C2H3N1 -> C8H15N3O4"
168,217.1061,12.34,5.4,"Metabolite","C8H15N3O4",0.72,"N-a-Acetylcitrulline C8H15N3O4"
169,217.1061,11.97,5.4,"Artifact","C8H15N3O4",0.72,"Asparaginyl-Glutamic acid C9H15N3O6 - C1O2 -> C8H15N3O4"
170,234.1619,2.53,6.48,"Metabolite","C15H22O2",0.34,"Valerenic acid C15H22O2"
171,347.0631,13.73,6.65,"Metabolite","C10H14N5O7P1",-0.05,"Adenosine monophosphate C10H14N5O7P1"
172,353.9522,13.89,6.55,"Artifact","C6H13K2O10P1",-0.43,"CH3COOK C2H3K1O2 + C2H4O2 + H3O4P1 -> C4H10K1O8P1 + C2H3K1O2 -> C6H13K2O10P1"
173,295.9102,13.92,6.59,"Artifact","C5H7K3O7",0.33,"KHCO3 C1H1K1O3 + C2H3K1O2 + C2H3K1O2 -> C5H7K3O7"
174,137.0238,2.92,6.4,"Putative metabolite","C7H5O3",0.5,"Aminochrome o-semiquinone C8H8N1O2 + H-1N-1O1 -> C8H7O3 - C1H2 -> C7H5O3"
175,315.0893,2.52,5.89,"Putative metabolite","C20H13N1O3",0.77,"Sanguinarine C20H13N1O4 - O1 -> C20H13N1O3"
176,566.055,13.94,6.57,"Metabolite","C15H24N2O17P2",0.04,"Uridine diphosphate glucose C15H24N2O17P2"
177,134.0579,7.77,6.64,"Metabolite","C5H10O4",0.07,"2,3-Dihydroxyvaleric acid C5H10O4"
178,318.1272,13.58,6.59,"Artifact","[13]C1C9H24N1O8P1",0.34,"Glycerophosphocholine C8H20N1O6P1 + C2H4O2 -> C10H24N1O8P1 + [13]C1C-1 -> [13]C1C9H24N1O8P1"
179,161.0687,10.76,6.49,"Metabolite","C6H11N1O4",0.67,"Aminoadipic acid C6H11N1O4"
180,565.5151,2.44,6.47,"Artifact","[13]C1C35H68O4",0.03,"FAHFA(18:1(9Z)/12-O-18:0) C36H68O4 + [13]C1C-1 -> [13]C1C35H68O4"
181,159.9772,13.91,6.57,"Artifact","C3H5K1O5",1.28,"KHCO3 C1H1K1O3 + C2H4O2"
182,313.1794,2.09,6.57,"Artifact","[13]C1C16H28O3S1",-0.41,"N-Undecylbenzenesulfonic acid C17H28O3S1 + [13]C1C-1 -> [13]C1C16H28O3S1"
183,242.0637,2.63,6.45,"Putative metabolite","C7H14O9",0.34,"2,3,4,5,6,7-Hexahydroxyheptanoic acid C7H14O8 + O1 -> C7H14O9"
184,386.1732,2.78,6.52,"Metabolite","C22H26O6",-0.68,"Porson C22H26O6"
185,152.0331,9.02,6.62,"Metabolite","C5H4N4O2",2.14,"Xanthine C5H4N4O2"
186,160.1097,4.22,6.5,"Metabolite","C8H16O3",1.53,"7-Hydroxyoctanoic acid C8H16O3"
187,160.1098,2.71,6.19,"Metabolite","C8H16O3",0.9,"7-Hydroxyoctanoic acid C8H16O3"
188,160.1098,3.78,5.89,"Metabolite","C8H16O3",0.9,"7-Hydroxyoctanoic acid C8H16O3"
189,282.1066,2.44,6.58,"Artifact","Ring_artifact_C18H34O2",-0.08,"Oleic acid C18H34O2 + Ring_artifact -> Ring_artifact_C18H34O2"
190,167.0476,2.57,6.34,"Unknown","Unknown",-0.14,"Unknown"
191,167.0476,2.84,6.34,"Unknown","Unknown",-0.14,"Unknown"
192,133.0931,13.64,6.59,"Artifact","[13]C1C4H12N2O2",1,"Ornithine C5H12N2O2 + [13]C1C-1 -> [13]C1C4H12N2O2"
193,133.0931,16.24,6.08,"Artifact","[13]C1C4H12N2O2",1,"Ornithine C5H12N2O2 + [13]C1C-1 -> [13]C1C4H12N2O2"
194,133.0932,16.78,6.06,"Artifact","[13]C1C4H12N2O2",0.24,"Ornithine C5H12N2O2 + [13]C1C-1 -> [13]C1C4H12N2O2"
195,369.8139,13.84,6.49,"Artifact","H4K2O12S3",0,"KHSO4 H1K1O4S1 + H2O4S1 + H1K1O4S1 -> H4K2O12S3"
196,173.0687,11.26,6.56,"Metabolite","C7H11N1O4",0.62,"N-Acetyl-L-glutamate 5-semialdehyde C7H11N1O4"
197,173.0687,10.33,6.07,"Metabolite","C7H11N1O4",0.62,"N-Acetyl-L-glutamate 5-semialdehyde C7H11N1O4"
198,135.9232,13.85,6.55,"Artifact","H1K1O4S1",0.45,"KHSO4 H1K1O4S1"
199,171.0507,13,6.55,"Artifact","C5H10N1Na1O4",0.31,"beta-Alanine C3H7N1O2 + C2H3Na1O2 -> C5H10N1Na1O4"
200,171.0507,14.44,4.64,"Unknown","Unknown",-0.14,"Unknown"
201,104.011,13.39,6.54,"Metabolite","C3H4O4",-0.4,"Malonic acid C3H4O4"
202,176.0684,11.97,6.4,"Metabolite","C7H12O5",0.42,"2-Isopropylmalic acid C7H12O5"
203,245.0745,11.81,6.56,"Artifact","C6H15N1O9",0.74,"Galactitol C6H14O6 + H1N1O3 -> C6H15N1O9"
204,245.0727,9.6,5.19,"Artifact","[13]C1C8H12N2O6",0.78,"Uridine C9H12N2O6 + [13]C1C-1 -> [13]C1C8H12N2O6"
205,245.0745,11.36,6.51,"Artifact","C6H15N1O9",0.74,"Galactitol C6H14O6 + H1N1O3 -> C6H15N1O9"
206,301.2697,2.63,6.54,"Artifact","[13]C1C17H36O3",0.33,"(R)-3-Hydroxy-Octadecanoic acid C18H36O3 + [13]C1C-1 -> [13]C1C17H36O3"
207,301.2697,4.18,5.89,"Artifact","[13]C1C17H36O3",0.33,"(R)-3-Hydroxy-Octadecanoic acid C18H36O3 + [13]C1C-1 -> [13]C1C17H36O3"
208,241.0665,2.62,6.64,"Unknown","Unknown",-0.1,"Unknown"
209,316.2613,2.47,6.5,"Artifact","C18H36O4",0.19,"Palmitic acid C16H32O2 + C2H4O2 -> C18H36O4"
210,316.2613,4.22,6.18,"Metabolite","C18H36O4",0.19,"MG(0:0/15:0/0:0) C18H36O4"
211,316.2613,2.75,6.5,"Metabolite","C18H36O4",0.19,"MG(0:0/15:0/0:0) C18H36O4"
212,311.9417,13.9,6.46,"Artifact","C6H11K3O7",-0.33,"CH3COOK C2H3K1O2 + C2H4O2 + C2H3K1O2 -> C6H10K2O6 + H1K1O1 -> C6H11K3O7"
213,189.0636,13.26,6.53,"Metabolite","C7H11N1O5",0.65,"Glutarylglycine C7H11N1O5"
214,95.03709,13.42,6.54,"Metabolite","C5H5N1O1",0.25,"2-Hydroxypyridine C5H5N1O1"
215,143.9824,13.89,6.51,"Artifact","C3H5K1O4",0.63,"C2H4O2 C2H4O2 + C1H1K1O2"
216,292.1383,13.38,6.53,"Artifact","C10H20N4O6",-0.05,"Peak 4150 C9H19N3O6 + C1H1N1 -> C10H20N4O6"
217,327.195,2.08,6.5,"Artifact","[13]C1C17H30O3S1",-0.24,"2-Dodecylbenzenesulfonic acid C18H30O3S1 + [13]C1C-1 -> [13]C1C17H30O3S1"
