name,revised_Query,Compound_Name,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Hilic_20min_QE,Hilic_25min_QE,Hilic_25min_QE2,Hilic_Rutgers_QEPlus,Hilic_30min_QTOF,E_Waters_25min,E_30min,lipids,formula,mass,rdbe
adenosine,adenosine,Adenosine,HMDB0000050,60961,16335,C00212,86,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,5.72,8.5,8.187772043,,,,10.12,,C10H13N5O4,267.0967539,7
adenosine 5'-phosphosulfate,adenosine 5'-phosphosulfate,Adenosine phosphosulfate,HMDB0001003,10238,17709,C00224,5933,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)O)O,5.62,8.9,8.573078963,,,,14.49,,C10H14N5O10P1S1,427.0198989,7
Adipic acid,Adipic acid,Adipic acid,HMDB0000448,196,30832,C06104,115,C(CCC(=O)O)CC(=O)O,,12.23,11.78075907,8.6,,,15.06,,C6H10O4,146.0579088,2
Adonitol,Adonitol,Ribitol,HMDB0000508,NA,15963,C00474,316,OC[C@H](O)[C@H](O)[C@H](O)CO,6.06,9.27,8.929487864,,9.1,2.16,,,C5H12O5,152.0684735,0
ADP,ADP,ADP,HMDB0001341,6022,16761,C00008,6175,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O,6.42,13.86,13.35088477,11.12,13.46,12.12,15.28,,C10H15N5O10P2,427.0294147,7
ADP-D-glucose,ADP-D-glucose,ADP-glucose,HMDB0006557,16500,15751,C00498,,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,6.32,13.38,12.88851646,,12.88,12.34,14.89,,C16H25N5O15P2,589.0822381,8
alanine,alanine,L-Alanine,HMDB0000161,5950,16977,C00041,,C[C@@H](C(=O)O)N,6.89,12.99,12.51284222,,12.52,2.11,1.84,,C3H7N1O2,89.04767847,1
allantoin,allantoin,Allantoin,HMDB0000462,204,15676,C01551,89,C1(C(=O)NC(=O)N1)NC(=O)N,5.46,7.82,7.53275028,,7.23,,,,C4H6N4O3,158.0439901,4
Aminoadipic acid,Aminoadipic acid,Aminoadipic acid,HMDB0000510,469,37024,C00956,5496,C(CC(C(=O)O)N)CC(=O)O,,13.35,12.85961844,9.28,,,2.04,,C6H11N1O4,161.0688078,2
Aminolevulinic acid,Aminolevulinic acid,5-Aminolevulinic acid,HMDB0001149,137,17549,C00430,6037,C(CC(=O)O)C(=O)CN,6.39,12.21,11.76149372,,,1.82,1.65,,C5H9N1O3,131.0582432,2
AMP,AMP,Adenosine monophosphate,HMDB0000045,6083,16027,C00020,5111,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,6.38,13.5,13.00410854,9.73,,,15.37,,C10H14N5O7P1,347.0630843,7
Anserine,Anserine,Anserine,HMDB0000194,112072,18323,C01262,5209,CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN,7.59,13.89,13.37978279,9.11,13.65,1.51,1.53,,C10H16N4O3,240.1222404,5
anthranilate,anthranilate,2-Aminobenzoic acid,HMDB0001123,227,30754,C00108,6018,C1=CC=C(C(=C1)C(=O)O)N,,4.07,3.920497908,,,,16.05,,C7H7N1O2,137.0476785,5
Arachidic acid,Arachidic acid,Arachidic acid,HMDB0002212,10467,28822,C06425,401,CCCCCCCCCCCCCCCCCCCC(=O)O,1.75,2.43,2.340739537,,2.3,,,,C20H40O2,312.3028305,1
arginine,arginine,L-Arginine,HMDB0000517,6322,16467,C00062,5502,C(C[C@@H](C(=O)O)N)CN=C(N)N,13.37,17.87,17.21358664,,17.53,1.5,1.42,,C6H14N4O2,174.1116757,2
asparagine,asparagine,L-Asparagine,HMDB0000168,6267,17196,C00152,14,C([C@@H](C(=O)O)N)C(=O)N,6.89,13.46,12.96557785,,13.03,2.05,1.79,,C4H8N2O3,132.0534921,2
aspartate,aspartate,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,C([C@@H](C(=O)O)N)C(=O)O,6.44,13.46,12.96557785,,12.52,7.73,5.89,,C4H7N1O4,133.0375077,2
ATP,ATP,Adenosine triphosphate,HMDB0000538,5957,15422,C00002,5523,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,,14.01,13.49537486,12.83,,,15.34,,C10H16N5O13P3,506.9957451,7
b-alanine,b-alanine,Beta-Alanine,HMDB0000056,239,16958,C00099,5119,C(CN)C(=O)O,7.19,13.35,12.85961844,,,,,,C3H7N1O2,89.04767847,1
b-Aminoisobutyric acid,b-Aminoisobutyric acid,3-Aminoisobutanoic acid,HMDB0003911,64956,27389,C05145,5472,CC(CN)C(=O)O,6.66,12.17,11.72296303,,11.72,2.16,1.88,,C4H9N1O2,103.0633285,1
betaine,betaine,Betaine,HMDB0000043,247,17750,C00719,287,C[N+](C)(C)CC(=O)[O-],,10.21,9.834959125,,,,2.05,,C5H11N1O2,117.0789786,1
biotin,biotin,Biotin,HMDB0000030,171548,15956,C00120,243,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,5.57,8.58,8.264833427,,7.87,11.94,14.69,,C10H16N2O3S1,244.0881631,4
Butyric acid,Butyric acid,Butyric acid,HMDB0000039,264,30772,C00246,107,CCCC(=O)O,,,,2.8,,,,,C4H8O2,88.0524295,1
butyryl-CoA,butyryl-CoA,Butyryl-CoA,HMDB0001088,265,57371,C00136,5996,CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,6.23,12.86,12.38761747,,20.55,14.74,,,C25H42N7O17P3S1,837.1570732,10
carnitine,carnitine,L-Carnitine,HMDB0000062,2724480,11060,C00318,52,C[N+](C)(C)C[C@H](CC(=O)[O-])O,7.02,13.12,12.63806697,,12.81,,,,C7H15N1O3,161.1051934,1
Carnosine,Carnosine,Carnosine,HMDB0000033,439224,15727,C00386,38,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN,,14,13.48574219,9.3,,15.2,,,C9H14N4O3,226.1065903,5
CDP,CDP,CDP,HMDB0001546,6132,17239,C00112,6313,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,6.76,13.98,13.46647684,,13.53,11.83,14.94,,C9H15N3O11P2,403.0181813,5
CDP-choline,CDP-choline,Citicoline,HMDB0001413,13804,16436,C00307,6229,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O,,8.51,8.197404716,10.29,,,,,C14H27N4O11P2,489.1151557,5
Cellobiose,Cellobiose,Cellobiose,HMDB0000055,10712,36217,C06422,3480,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,7.59,13.71,13.20639467,8.56,13.4,2.17,1.96,,C12H22O11,342.1162115,2
Cholic acid,Cholic acid,Cholic acid,HMDB0000619,221493,16359,C00695,206,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,2.17,7.03,6.771769113,2.4,,,,,C24H40O5,408.2875744,5
Citraconic acid,Citraconic acid,Citraconic acid,HMDB0000634,643798,17626,C02226,5607,C/C(=C/C(=O)O)/C(=O)O,,13.51,13.01374121,,,,,,C5H6O4,130.0266087,3
citrate/isocitrate,citrate,Citric acid,HMDB0000094,311,30769,C00158,124,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,13.98,13.46647684,,15.83,,15.26,,C6H8O7,192.0270026,3
citrulline,citrulline,Citrulline,HMDB0000904,9750,16349,C00327,16,C(C[C@@H](C(=O)O)N)CNC(=O)N,,13.56,13.06190458,,13.31,,1.87,,C6H13N3O3,175.0956913,2
CMP,CMP,Cytidine monophosphate,HMDB0000095,6131,17361,C00055,5143,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,,13.76,13.25455804,10.68,13.4,10.03,14.97,,C9H14N3O8P1,323.0518509,5
coenzyme A,coenzyme A,Coenzyme A,HMDB0001423,6816,1146900,C00010,6235,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,6.34,13.29,12.80182241,,12.81,13.54,,,C21H36N7O16P3S1,767.1152083,9
creatine,creatine,Creatine,HMDB0000064,586,16919,C00300,7,CN(CC(=O)O)C(=N)N,6.98,12.98,12.50320954,,12.66,2.21,1.93,,C4H9N3O2,131.0694766,2
Creatine phosphate,Creatine phosphate,Phosphocreatine,HMDB0001511,587,17287,C02305,6288,CN(CC(=O)O)C(=NP(=O)(O)O)N,6.37,13.55,13.0522719,,13.2,,,,C4H10N3O5P1,211.0358069,2
Creatinine,Creatinine,Creatinine,HMDB0000562,588,16737,C00791,8,CN1CC(=O)N=C1N,5.08,7.55,7.272668109,2.73,6.89,1.87,1.71,,C4H7N3O1,113.0589119,3
CTP,CTP,Cytidine triphosphate,HMDB0000082,6176,17677,C00063,5136,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,,14.23,13.70729367,13.63,13.68,12,15.31,,C9H16N3O14P3,482.9845117,5
cyclic-AMP,cyclic AMP,Cyclic AMP,HMDB0000058,6076,17489,C00575,5120,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,5.6,8.89,8.56344629,,8.04,11.81,14.51,,C10H12N5O6P1,329.0525196,8
cystathionine,cystathionine,L-Cystathionine,HMDB0000099,439258,17482,C02291,39,C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N,,14.41,13.88068178,,,,,,C7H14N2O4S1,222.0674277,2
cysteine,cysteine,L-Cysteine,HMDB0000574,5862,17561,C00097,5556,C([C@@H](C(=O)O)N)S,6.76,13.82,13.31235407,,13.45,2.21,1.91,,C3H7N1O2S1,121.0197492,1
cytidine,cytidine,Cytidine,HMDB0000089,6175,17562,C00475,3376,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,5.88,9.11,8.775365096,,8.54,2.25,1.99,,C9H13N3O5,243.0855205,5
cytosine,cytosine,Cytosine,HMDB0000630,597,16040,C00380,283,C1=C(NC(=O)N=C1)N,5.54,7.99,7.696505721,,7.4,1.93,1.73,,C4H5N3O1,111.0432618,4
D-2-Aminobutyric acid,D-2-Aminobutyric acid,D-Alpha-aminobutyric acid,HMDB0000650,439691,28797,C02261,,CC[C@H](C(=O)O)N,6.59,12.1,11.65553432,6.38,11.64,2.19,1.88,,C4H9N1O2,103.0633285,1
D-erythrose-4-phosphate,D-erythrose-4-phosphate,D-Erythrose 4-phosphate,HMDB0001321,122357,48153,C00279,6158,C([C@H]([C@H](C=O)O)O)OP(=O)(O)O,,13.76,13.25455804,10.49,,,,,C4H9O7P1,200.0085891,1
D-Fructose-6-phosphate,D-Fructose-6-phosphate,Fructose 6-phosphate,HMDB0000124,69507,15946,C00085,5159,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O,,13.74,13.23529269,,,,,,C6H13O9P1,260.0297185,1
D-gluconate,D-gluconate,Gluconic acid,HMDB0000625,10690,33198,C00257,345,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,6.34,7.04,6.781401786,,11.04,8.36,7.58,,C6H12O7,196.0583027,1
D-glucosamine-1/6-phosphate,D-glucosamine 6-phosphate,Glucosamine 6-phosphate,HMDB0001254,439217,15873,C00352,6111,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O,7.01,13.85,13.34125209,10.82,13.52,2.11,2.7,,C6H14N1O8P1,259.0457029,1
D-glyceraldehdye-3-phosphate,D-glyceraldehyde 3-phosphate,D-Glyceraldehyde 3-phosphate,HMDB0001112,729,17138,C00661,3294,C(C(C=O)O)OP(=O)(O)O,6.63,13.73,13.22566002,,,,,,C3H7O6P1,169.9980244,1
D-Pantethine,D-Pantethine,D-Pantethine,HMDB0003828,452306,31959,C12661,,CC(C)(CO)[C@H](C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO)O)O,3.93,7.06,6.800667132,1.98,5.81,,15.28,,C22H42N4O8S2,554.2444058,4
D-Phenyllactic acid,D-Phenyllactic acid,D-Phenyllactic acid,HMDB0000563,NA,8100,C05607,5547,[H][C@](O)(CC1=CC=CC=C1)C(O)=O,,2.75,2.648985073,,,13.68,,,C9H10O3,166.0629942,5
D-phospho-L-serine,L-phosphoserine,Phosphoserine,HMDB0000272,68841,15811,C01005,5270,C([C@@H](C(=O)O)N)OP(=O)(O)O,,13.94,13.42794615,,,,,,C3H8N1O6P1,185.0089235,1
D-Xylose,D-Xylose,D-Xylose,HMDB0000098,135191,53455,C00181,314,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,,10.04,9.671203684,4.15,,,,,C5H10O5,150.0528234,1
dAMP,dAMP,Deoxyadenosine monophosphate,HMDB0000905,12599,17713,C00360,3461,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O,6.32,13.38,12.88851646,9.51,13.05,11.54,,,C10H14N5O6P1,331.0681697,7
dATP,dATP,Deoxyadenosine triphosphate,HMDB0001532,15993,16284,C00131,6303,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,6.8,13.88,13.37015011,,13.55,12.52,15.52,,C10H16N5O12P3,491.0008305,7
dCDP,dCDP,dCDP,HMDB0001245,150855,28846,C00705,6105,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O,6.57,13.83,13.32198675,,13.47,11.63,15.08,,C9H15N3O10P2,387.0232667,5
dCMP,dCMP,dCMP,HMDB0001202,13945,15918,C00239,6078,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,6.43,13.62,13.11970062,10.18,13.3,10.41,15.18,,C9H14N3O7P1,307.0569363,5
dCTP,dCTP,dCTP,HMDB0000998,65091,16311,C00458,5929,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,7.37,14.08,13.56280357,13.1,13.65,12.04,15.28,,C9H16N3O13P3,466.9895971,5
deoxyadenosine,deoxyadenosine,Deoxyadenosine,HMDB0000101,13730,17256,C00559,3382,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O,3.55,5.76,5.548419643,,4.78,9.47,12.2,,C10H13N5O3,251.1018393,7
deoxyguanosine,deoxyguanosine,Deoxyguanosine,HMDB0000085,187790,17172,C00330,3395,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)O,5.71,8.5,8.187772043,,7.96,7.59,9.8,,C10H13N5O4,267.0967539,7
deoxyinosine,deoxyinosine,Deoxyinosine,HMDB0000071,65058,28997,C05512,3383,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O,5.38,7.61,7.330464147,,7.12,7.44,9.64,,C10H12N4O4,252.0858549,7
deoxyribose-phosphate,deoxyribose 5-phosphate,Deoxyribose 5-phosphate,HMDB0001031,45934311,16132,C00673,5956,C1[C@@H]([C@H](O[C@H]1O)COP(=O)(O)O)O,6.39,13.47,12.97521052,,13.11,9.77,13.52,,C5H11O7P1,214.0242392,1
deoxyuridine,deoxyuridine,Deoxyuridine,HMDB0000012,13712,16450,C00526,5086,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,3.76,6.14,5.914461217,,5.05,6.75,,,C9H12N2O5,228.0746215,5
dephospho-CoA,dephospho-CoA,Dephospho-CoA,HMDB0001373,439335,15468,C00882,3689,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O)C(C(=O)NCCC(=O)NCCS)O,,10.71,10.31659277,,8.38,,16.12,,C21H35N7O13P2S1,687.148878,9
dGDP,dGDP,dGDP,HMDB0000960,439220,28862,C00361,5906,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)O)O,6.8,13.94,13.42794615,12.04,13.58,11.94,15.25,,C10H15N5O10P2,427.0294147,7
dGMP,dGMP,2'-Deoxyguanosine 5'-monophosphate,HMDB0001044,65059,16192,C00362,,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O,6.56,13.72,13.21602735,9.83,13.41,11,14.89,,C10H14N5O7P1,347.0630843,7
Diaminopimelic Acid,Diaminopimelic Acid,Diaminopimelic acid,HMDB0001370,439283,16026,C00666,352,C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N,8.77,14.51,13.97700851,,14.35,2,1.74,,C7H14N2O4,190.0953569,2
Diethylthiophosphate,Diethylthiophosphate,Diethylthiophosphate,HMDB0001460,655,,C06607,6256,CCOP(=S)(O)OCC,1.96,2.39,2.302208845,1.63,2.88,,16.06,,C4H11O3P1S1,170.0166514,0
Dihydrouracil,Dihydrouracil,Dihydrouracil,HMDB0000076,649,15901,C00429,285,C1CNC(=O)NC1=O,3.07,4.4,4.238376116,,,,,,C4H6N2O2,114.0429275,3
