"peak_id","medMz","medRt","log10_inten","class","formula","ppm_error","annotation"
61,242.2246,2.48,7.25,"Metabolite","C15H30O2",-0.08,"pentadecanoic acid C15H30O2"
62,284.2634,2.44,7.22,"Unknown","Unknown",0.3,"Unknown"
63,131.0945,9.84,7.23,"Metabolite","C6H13N1O2",0.98,"6-aminohexanoic acid C6H13N1O2"
64,131.0945,9.31,7.14,"Metabolite","C6H13N1O2",0.98,"6-aminohexanoic acid C6H13N1O2"
65,90.0509,13.01,7.2,"Artifact","[13]C1C2H7N1O2",1.48,"3-aminopropanoic acid C3H7N1O2 + [13]C1C-1 -> [13]C1C2H7N1O2"
66,159.9961,13.89,7.18,"Artifact","[41]K1C4H7O4",1,"CH3COOK C2H3K1O2 + C2H4O2 + [41]K1K-1 -> [41]K1C4H7O4"
67,133.0374,13.58,7.19,"Metabolite","C4H7N1O4",0.81,"(2S)-2-aminobutanedioic acid C4H7N1O4"
68,133.0374,11.29,6.78,"Metabolite","C4H7N1O4",0.81,"(2S)-2-aminobutanedioic acid C4H7N1O4"
69,148.0562,13.5,7.17,"Artifact","[13]C1C4H9N1O4",2.11,"2-amino-2-methylbutanedioic acid C5H9N1O4 + [13]C1C-1 -> [13]C1C4H9N1O4"
70,165.0789,8.83,7.17,"Metabolite","C9H11N1O2",0.48,"4-pyridin-3-ylbutanoic acid C9H11N1O2"
71,165.0789,13.39,5.38,"Metabolite","C9H11N1O2",0.48,"4-pyridin-3-ylbutanoic acid C9H11N1O2"
72,242.0803,4.24,7.02,"Metabolite","C12H10N4O2",0.31,"4-[(4-nitrophenyl)diazenyl]aniline C12H10N4O2"
73,242.0795,2.37,6.37,"Artifact","B0.5C11.5F1.5H11N2.5O0.5S0.5",0.04,"No edge connections."
74,166.0628,4.2,7.1,"Metabolite","C9H10O3",1.17,"3-(3-hydroxyphenyl)propanoic acid C9H10O3"
75,166.0628,2.85,6.63,"Metabolite","C9H10O3",1.17,"D-Phenyllactic acid C9H10O3"
76,350.1914,13.65,7.08,"Artifact","C12H26N6O6",-0.05,"(2S)-2-amino-5-(carbamoylamino)pentanoic acid C6H13N3O3 * 2 -> C12H26N6O6"
77,310.2872,2.41,7.05,"Metabolite","C20H38O2",-0.06,"hexadecyl 2-methylprop-2-enoate C20H38O2"
78,249.0872,2.35,7.05,"Artifact","C12H17O3.5S1",0.39,"4-dodecyl-2-(4-sulfophenoxy)benzenesulfonic acid C24H34O7S2 / 2 -> C12H17O3.5S1"
79,249.0872,3.31,5.59,"Artifact","C12H17O3.5S1",0.39,"4-dodecyl-2-(4-sulfophenoxy)benzenesulfonic acid C24H34O7S2 / 2 -> C12H17O3.5S1"
80,123.04,4.21,7.08,"Artifact","[13]C1C6H6O2",1.09,"3-hydroxybenzaldehyde C7H6O2 + [13]C1C-1 -> [13]C1C6H6O2"
81,123.0401,2.93,6.16,"Unknown","Unknown",0.77,"Unknown"
82,207.1703,2.58,7.02,"Artifact","[13]C1C13H22O1",0.58,"2,4-ditert-butylphenol C14H22O1 + [13]C1C-1 -> [13]C1C13H22O1"
83,152.0472,2.92,7.13,"Metabolite","C8H8O3",0.95,"Mandelic acid C8H8O3"
84,340.2072,2.07,7.02,"Metabolite","C19H32O3S1",0.05,"4-tridecylbenzenesulfonic acid C19H32O3S1"
85,270.2559,2.46,6.99,"Metabolite","C17H34O2",-0.07,"propan-2-yl tetradecanoate C17H34O2"
86,147.0721,13.39,7.03,"Artifact","[13]C1C4H10N2O3",2.7,"(2S)-2,5-diamino-5-oxopentanoic acid C5H10N2O3 + [13]C1C-1 -> [13]C1C4H10N2O3"
87,188.0796,11.29,7.01,"Artifact","C7H12N2O4",0.57,"(4S)-4-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-hydroxypropanoyl]amino]propanoyl]amino]-3-hydroxypropanoyl]amino]-5-oxopentanoic acid C14H24N4O8 / 2 -> C7H12N2O4"
88,331.8773,13.87,7.02,"Artifact","C4H7K3O8S1",-0.05,"KHSO4 H1K1O4S1 + C2H3K1O2 + C2H3K1O2 -> C4H7K3O8S1"
89,255.9751,13.9,6.98,"Artifact","C6H10K2O6",0.2,"CH3COOK C2H3K1O2 + C2H4O2 + C2H3K1O2 -> C6H10K2O6"
90,182.079,11.81,7.02,"Metabolite","C6H14O6",0.21,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol C6H14O6"
91,175.1148,16.77,7.02,"Artifact","[13]C1C5H14N4O2",1.32,"(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid C6H14N4O2 + [13]C1C-1 -> [13]C1C5H14N4O2"
92,612.1521,14.19,6.98,"Metabolite","C20H32N6O12S2",-0.23,"glutathione disulfide C20H32N6O12S2"
93,564.5118,2.44,6.88,"Artifact","C36H68O4",-0.07,"5-tetradecyloxolan-2-one C18H34O2 * 2 -> C36H68O4"
94,183.0167,13.42,6.95,"Metabolite","C7H5N1O5",0.39,"2-hydroxy-3-nitrobenzoic acid C7H5N1O5"
95,159.0013,13.89,6.96,"Artifact","[13]C1C3H7K1O4",1.23,"CH3COOK C2H3K1O2 + C2H4O2 + [13]C1C-1 -> [13]C1C3H7K1O4"
96,224.0356,2.57,6.82,"Metabolite","C7H12O6S1",-0.63,"2-hydroxy-3-(4-hydroxybut-2-ynoxy)propane-1-sulfonic acid C7H12O6S1"
97,136.0524,4.21,6.92,"Metabolite","C8H8O2",0.21,"2-phenylacetic acid C8H8O2"
98,136.0524,2.88,6.22,"Artifact","C8H8O2",0.22,"D-Phenyllactic acid C9H10O3 - C1H2O1 -> C8H8O2"
99,258.1831,2.63,6.92,"Metabolite","C14H26O4",0.03,"dibutyl hexanedioate C14H26O4"
100,258.1831,4.07,5.96,"Metabolite","C14H26O4",0.03,"dibutyl hexanedioate C14H26O4"
101,176.0796,11.3,6.93,"Artifact","C6H12N2O4",0.61,"1-aminocyclobutane-1,3-dicarboxylic acid C6H9N1O4 + H3N1 -> C6H12N2O4"
102,176.0795,12.17,5.2,"Metabolite","C6H12N2O4",1.18,"3-carbamoyloxybutyl carbamate C6H12N2O4"
103,177.0458,7.14,6.96,"Metabolite","C6H11N1O3S1",0.93,"N-Formyl-L-methionine C6H11N1O3S1"
104,233.9001,13.86,6.91,"Artifact","C2H4K2O6S1",0.74,"KHSO4 H1K1O4S1 + C2H3K1O2"
105,128.0585,13.38,6.9,"Metabolite","C5H8N2O2",0.61,"5,5-dimethylimidazolidine-2,4-dione C5H8N2O2"
106,132.0534,13.4,6.91,"Metabolite","C4H8N2O3",0.7,"3-(carbamoylamino)propanoic acid C4H8N2O3"
107,132.0534,12.53,5.21,"Metabolite","C4H8N2O3",0.7,"3-(carbamoylamino)propanoic acid C4H8N2O3"
108,176.0988,13.64,6.89,"Artifact","[13]C1C5H13N3O3",1.4,"(2S)-2-amino-5-(carbamoylamino)pentanoic acid C6H13N3O3 + [13]C1C-1 -> [13]C1C5H13N3O3"
109,298.1602,2.1,6.87,"Metabolite","C16H26O3S1",0.22,"4-decylbenzenesulfonic acid C16H26O3S1"
110,175.0843,12.24,6.89,"Metabolite","C7H13N1O4",0.9,"4-(2-carboxyethylamino)butanoic acid C7H13N1O4"
111,175.0843,11.24,5.04,"Metabolite","C7H13N1O4",0.9,"4-(2-carboxyethylamino)butanoic acid C7H13N1O4"
112,132.0786,4.21,6.83,"Artifact","C6H12O3",0.34,"1,4,7,10,13,16-hexaoxacyclooctadecane C12H24O6 / 2 -> C6H12O3"
113,132.0786,2.94,6,"Metabolite","C6H12O3",0.33,"ethyl 2-hydroxy-2-methylpropanoate C6H12O3"
114,309.8024,13.85,6.83,"Artifact","H1K3O8S2",0.01,"KHSO4 H1K1O4S1 + H2O4S1 + H-2K2 -> H1K3O8S2"
115,243.0871,13.59,6.85,"Putative metabolite","C7H18N1O6P1",0.3,"(2S)-2-amino-3-diethoxyphosphoryloxypropanoic acid C7H16N1O6P1 + H2 -> C7H18N1O6P1"
116,243.0871,14.35,6.56,"Artifact","C7H18N1O6P1",0.3,"Phosphorylcholine C5H14N1O4P1 + C2H4O2 -> C7H18N1O6P1"
117,243.0871,13.08,5.46,"Metabolite","C12H12F3N1O1",-0.01,"(E)-2-methyl-3-[3-(trifluoromethyl)phenyl]but-2-enamide C12H12F3N1O1"
118,243.0855,9.27,5.45,"Metabolite","C9H13N3O5",0.08,"cytidine C9H13N3O5"
119,117.087,4.23,6.77,"Artifact","[13]C1C5H12O2",0.72,"2-ethylbutanoic acid C6H12O2 + [13]C1C-1 -> [13]C1C5H12O2"
120,117.087,3.01,6.18,"Artifact","[13]C1C5H12O2",0.72,"2-ethylbutanoic acid C6H12O2 + [13]C1C-1 -> [13]C1C5H12O2"
121,246.9782,13.51,6.82,"Artifact","C5Cr1H9N1O7",0.84,"2-amino-2-methylbutanedioic acid C5H9N1O4 + Cr1O3 -> C5Cr1H9N1O7"
122,258.247,2.47,6.76,"Artifact","[13]C2C14H32O2",-0.23,"hexadecanoic acid C16H32O2 + [13]C1C-1 -> [13]C1C15H32O2 + [13]C1C-1 -> [13]C2C14H32O2"
123,136.0385,7.66,6.85,"Metabolite","C5H4N4O1",0.08,"hypoxanthine C5H4N4O1"
124,226.0692,2.84,6.69,"Metabolite","C6H18O5Si2",0.34,"[dimethoxy(methyl)silyl]oxy-dimethoxy-methylsilane C6H18O5Si2"
125,222.0673,14.18,6.82,"Metabolite","C7H14N2O4S1",0.58,"(3-methylsulfonylbutan-2-ylideneamino) N-methylcarbamate C7H14N2O4S1"
126,348.2233,16.77,6.82,"Metabolite","C12H28N8O4",0.15,"(2R)-2,6-diamino-N-[(2R)-1-amino-5-[[amino-(2,2-dihydroxyhydrazinyl)methylidene]amino]-1-oxopentan-2-yl]hexanamide C12H28N8O4"
127,268.2402,2.46,6.74,"Metabolite","C17H32O2",0.11,"tridecyl 2-methylprop-2-enoate C17H32O2"
128,241.0702,2.62,6.23,"Artifact","[13]C1C7H16O6S1",-0.36,"(2R,3R,4S,5R,6R)-2-(hydroxymethyl)-6-(2-sulfanylethoxy)oxane-3,4,5-triol C8H16O6S1 + [13]C1C-1 -> [13]C1C7H16O6S1"
129,342.1162,14.83,6.55,"Metabolite","C12H22O11",0.04,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol C12H22O11"
130,342.1162,13.88,6.61,"Metabolite","C12H22O11",0.03,"Lactose C12H22O11"
131,314.2457,2.51,6.72,"Artifact","C18H34O4",0.03,"oxacycloheptadecan-2-one C16H30O2 + C2H4O2 -> C18H34O4"
132,314.2458,4.22,5.96,"Metabolite","C18H34O4",-0.29,"dibutyl decanedioate C18H34O4"
133,440.0837,13.84,6.43,"Artifact","C12H24O15S1",-0.25,"Lactose C12H22O11 + H2O4S1 -> C12H24O15S1"
134,440.0841,14.83,4.12,"Artifact","C14Ca1H24O13",0.41,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol C12H22O11 + C2Ca1H2O2 -> C14Ca1H24O13"
135,293.9215,13.86,6.75,"Artifact","C4H8K2O8S1",-0.33,"CH3COOK C2H3K1O2 + C2H4O2 + H1K1O4S1 -> C4H8K2O8S1"
136,271.8464,13.85,6.75,"Artifact","H2K2O8S2",0.45,"KHSO4 H1K1O4S1 + H1K1O4S1"
137,139.0269,13.42,6.75,"Metabolite","C6H5N1O3",0.31,"4-nitrophenol C6H5N1O3"
138,447.1974,2.78,6.7,"Artifact","[13]C1C23H30O8",0.05,"2-butanoyl-4-[(3-butanoyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one C24H30O8 + [13]C1C-1 -> [13]C1C23H30O8"
139,378.2439,2.44,6.67,"Metabolite","C19H38O5S1",0.25,"1-methoxy-1-oxooctadecane-2-sulfonic acid C19H38O5S1"
140,538.4959,2.46,6.6,"Metabolite","C34H66O4",0.39,"2-hexadecanoyloxyethyl hexadecanoate C34H66O4"
141,105.0426,13.45,6.73,"Metabolite","C3H7N1O3",-0.07,"(2S)-2-amino-3-hydroxypropanoic acid C3H7N1O3"
142,268.0807,8.68,6.75,"Metabolite","C10H12N4O5",0.26,"inosine C10H12N4O5"
143,300.088,2.65,6.53,"Artifact","C8H24O6Si3",0.23,"bis[[hydroxy(dimethyl)silyl]oxy]-dimethylsilane C6H20O4Si3 + C2H4O2 -> C8H24O6Si3"
144,607.0813,13.75,6.65,"Metabolite","C17H27N3O17P2",0.44,"[(2R,3R,4R,5R,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate C17H27N3O17P2"
145,215.0558,13.62,6.71,"Artifact","C5H14N1O6P1",0.35,"2-(dimethylamino)ethyl dihydrogen phosphate C4H12N1O4P1 + C1H2O2 -> C5H14N1O6P1"
146,116.928,13.01,6.71,"Unknown","Unknown",0.81,"Unknown"
147,116.928,13.39,6.71,"Unknown","Unknown",0.81,"Unknown"
148,266.1881,2.58,6.69,"Artifact","C16H26O3",0.35,"2,4-ditert-butylphenol C14H22O1 + C2H4O2 -> C16H26O3"
149,162.0527,13.06,6.71,"Metabolite","C6H10O5",0.76,"3-hydroxy-3-methylpentanedioic acid C6H10O5"
150,92.04732,7.06,6.71,"Metabolite","C3H8O3",0.26,"propane-1,2,3-triol C3H8O3"
151,306.076,14.19,6.69,"Artifact","C10H16N3O6S1",-0.06,"glutathione disulfide C20H32N6O12S2 / 2 -> C10H16N3O6S1"
152,566.5275,2.43,6.54,"Metabolite","C36H70O4",-0.16,"4-hexadecanoyloxybutyl hexadecanoate C36H70O4"
153,280.2402,2.46,6.64,"Metabolite","C18H32O2",0.11,"Linoleic acid C18H32O2"
154,300.2087,2.51,6.45,"Metabolite","C20H28O2",0.77,"Retinoic Acid C20H28O2"
155,75.032,13.34,6.69,"Metabolite","C2H5N1O2",0.37,"2-aminoacetic acid C2H5N1O2"
156,75.0319,13.01,6.69,"Metabolite","C2H5N1O2",1.71,"2-aminoacetic acid C2H5N1O2"
157,181.0738,10.76,6.7,"Metabolite","C9H11N1O3",0.51,"4-hydroxy-4-pyridin-3-ylbutanoic acid C9H11N1O3"
158,291.1834,2.56,6.63,"Metabolite","C17H25N1O3",0.15,"2-(dimethylamino)ethyl 2-(1-hydroxycyclopentyl)-2-phenylacetate C17H25N1O3"
159,291.1834,3.81,5.77,"Metabolite","C17H25N1O3",0.15,"2-(dimethylamino)ethyl 2-(1-hydroxycyclopentyl)-2-phenylacetate C17H25N1O3"
160,159.053,11.33,6.66,"Metabolite","C6H9N1O4",0.99,"1-aminocyclobutane-1,3-dicarboxylic acid C6H9N1O4"
161,159.053,13.38,5.55,"Metabolite","C6H9N1O4",0.99,"1-aminocyclobutane-1,3-dicarboxylic acid C6H9N1O4"
162,342.277,2.44,6.63,"Artifact","C20H38O4",0.03,"5-tetradecyloxolan-2-one C18H34O2 + C2H4O2 -> C20H38O4"
163,131.0581,9.04,6.68,"Metabolite","C5H9N1O3",1.09,"5-amino-4-oxopentanoic acid C5H9N1O3"
164,131.0581,12.68,5.38,"Metabolite","C5H9N1O3",1.09,"5-amino-4-oxopentanoic acid C5H9N1O3"
165,165.0649,7.72,6.68,"Metabolite","C6H7N5O1",0.97,"6-methoxy-7H-purin-2-amine C6H7N5O1"
166,165.0636,10.38,4.2,"Metabolite","C5H11N1O5",0.74,"(2S)-2-amino-3-(1,1-dihydroxyethoxy)propanoic acid C5H11N1O5"
167,217.1061,11.3,6.64,"Artifact","C8H15N3O4",0.72,"methyl 2-amino-4,5,6,7-tetrahydro-1H-1,3-diazepine-7-carboxylate C7H13N3O2 + C1H2O2 -> C8H15N3O4"
168,217.1061,12.34,5.4,"Metabolite","C8H15N3O4",0.72,"(2S)-5-amino-2-[[(2S)-2-aminopropanoyl]amino]-5-oxopentanoic acid C8H15N3O4"
169,217.1061,11.97,5.4,"Artifact","C8H15N3O4",0.72,"1,3,5-tris(2-hydroxyethyl)-1,3,5-triazinane-2,4,6-trione C9H15N3O6 - C1O2 -> C8H15N3O4"
170,234.1619,2.53,6.48,"Metabolite","C15H22O2",0.34,"3-cyclohex-2-en-1-yl-2,4-dioxaspiro[5.5]undec-9-ene C15H22O2"
171,347.0631,13.73,6.65,"Metabolite","C10H14N5O7P1",-0.05,"dGMP C10H14N5O7P1"
172,353.9522,13.89,6.55,"Artifact","C8H13K3O8",-0.1,"CH3COOK C2H3K1O2 + C2H4O2 + C2H3K1O2 -> C6H10K2O6 + C2H3K1O2 -> C8H13K3O8"
173,295.9102,13.92,6.59,"Artifact","C5H7K3O7",0.33,"KHCO3 C1H1K1O3 + C2H3K1O2 + C2H3K1O2 -> C5H7K3O7"
174,137.0238,2.92,6.4,"Artifact","C7H5O3",0.5,"5-methoxy-6-methyl-1-oxidopyridin-2-one C7H8N1O3 - H3N1 -> C7H5O3"
175,315.0893,2.52,5.89,"Metabolite","C20H13N1O3",0.77,"1-anilino-4-hydroxyanthracene-9,10-dione C20H13N1O3"
176,566.055,13.94,6.57,"Metabolite","C15H24N2O17P2",0.04,"UDP-D-glucose C15H24N2O17P2"
177,134.0579,7.77,6.64,"Metabolite","C5H10O4",0.07,"2-(2-methoxyethoxy)acetic acid C5H10O4"
178,318.1272,13.58,6.59,"Artifact","[13]C1C9H24N1O8P1",0.34,"Glycerophosphocholine C8H20N1O6P1 + C2H4O2 -> C10H24N1O8P1 + [13]C1C-1 -> [13]C1C9H24N1O8P1"
179,161.0687,10.76,6.49,"Metabolite","C6H11N1O4",0.67,"2-aminohexanedioic acid C6H11N1O4"
180,565.5151,2.44,6.47,"Artifact","[13]C1C35H68O4",0.03,"5-tetradecyloxolan-2-one C18H34O2 * 2 -> C36H68O4 + [13]C1C-1 -> [13]C1C35H68O4"
181,159.9772,13.91,6.57,"Artifact","C3H5K1O5",1.28,"KHCO3 C1H1K1O3 + C2H4O2"
182,313.1794,2.09,6.57,"Artifact","[13]C1C16H28O3S1",-0.41,"3-undecylbenzenesulfonic acid C17H28O3S1 + [13]C1C-1 -> [13]C1C16H28O3S1"
183,242.0637,2.63,6.45,"Putative metabolite","C7H14O9",0.34,"(3R,4S,5R,6R)-2,3,4,5,6,7-hexahydroxyheptanoic acid C7H14O8 + O1 -> C7H14O9"
184,386.1732,2.78,6.52,"Artifact","C22H26O6",-0.68,"pentyl 2,5-bis[[4-(6-prop-2-enoyloxyhexoxy)benzoyl]oxy]benzoate C44H52O12 / 2 -> C22H26O6"
185,152.0331,9.02,6.62,"Metabolite","C5H4N4O2",2.14,"3,7-dihydropurine-2,6-dione C5H4N4O2"
186,160.1097,4.22,6.5,"Metabolite","C8H16O3",1.52,"2-butoxyethyl acetate C8H16O3"
187,160.1098,2.71,6.19,"Metabolite","C8H16O3",0.9,"2-butoxyethyl acetate C8H16O3"
188,160.1098,3.78,5.89,"Metabolite","C8H16O3",0.9,"2-butoxyethyl acetate C8H16O3"
