accession,iupac_name,name,SMILES,status,formula,mass,rdbe,category
YMDB00012,NA,Adenylsuccinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2NC(CC(O)=O)C(O)=O,quantified,C14H18N5O11P1,463.0740429,9,Metabolite
YMDB00013,NA,5-Diphosphoinositol pentakisphosphate,OP(O)(=O)O[C@@H]1[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(=O)OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O,quantified,C6H19O27P7,739.8277008,1,Metabolite
YMDB00014,NA,"D-arabinono-1,4-lactone",OC[C@H]1OC(=O)[C@@H](O)[C@@H]1O,quantified,C5H8O5,148.0371734,2,Metabolite
YMDB00015,NA,"Delta 8,14 -Sterol",[H][C@@]1(CC=C2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@]1([H])CC3)[C@H](C)CCC(=C)C(C)C,quantified,C29H46O1,410.3548661,7,Metabolite
YMDB00016,NA,Glycine,NCC(O)=O,quantified,C2H5N1O2,75.03202841,1,Metabolite
YMDB00017,NA,2-(3-Carboxy-3-aminopropyl)-L-histidine,NC(CCC1=NC=C(C[C@H](N)C(O)=O)N1)C(O)=O,quantified,C10H16N4O4,256.117155,5,Metabolite
YMDB00018,NA,Dihydroxyacetone,OCC(=O)CO,quantified,C3H6O3,90.03169405,1,Metabolite
YMDB00019,NA,Saccharopine,N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O,quantified,C11H20N2O6,276.1321364,3,Metabolite
YMDB00021,NA,precorrin-1,C[C@]1(CC(O)=O)[C@H](CCC(O)=O)C2=N\C1=C/C1=C(CC(O)=O)C(CCC(O)=O)=C(CC3=C(CCC(O)=O)C(CC(O)=O)=C(CC4=C(CCC(O)=O)C(CC(O)=O)=C(C2)N4)N3)N1,quantified,C41H46N4O16,850.2908814,21,Metabolite
YMDB00022,NA,Acetaldehyde,CC=O,quantified,C2H4O1,44.02621475,1,Metabolite
YMDB00024,NA,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate",CSCCC(=O)C(=O)COP(O)(O)=O,quantified,C6H11O6P1S1,242.0013953,2,Metabolite
YMDB00025,NA,Orotidylic acid,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O,quantified,C10H13N2O11P1,368.0256957,6,Metabolite
YMDB00026,NA,Isocitric acid,OC(C(CC(O)=O)C(O)=O)C(O)=O,quantified,C6H8O7,192.0270026,3,Metabolite
YMDB00027,NA,Ureidosuccinic acid,NC(=O)N[C@@H](CC(O)=O)C(O)=O,quantified,C5H8N2O5,176.0433214,3,Metabolite
YMDB00028,NA,N-Acetylornithine,CC(=O)N[C@@H](CCCN)C(O)=O,quantified,C7H14N2O3,174.1004423,2,Metabolite
YMDB00029,NA,ADP-D-ribose 1''-phosphate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,quantified,C15H24N5O17P3,639.0380038,8,Metabolite
YMDB00030,NA,Dihydrobiopterin,CC(O)C(O)C1=NC2=C(NC1)N=C(N)NC2=O,quantified,C9H13N5O3,239.1018393,6,Metabolite
YMDB00031,NA,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)CC(=O)C(O)=O,quantified,C7H13O10P1,288.0246331,2,Metabolite
YMDB00032,NA,Purine,N1C=NC2=C1C=NC=N2,quantified,C5H4N4,120.0435962,6,Metabolite
YMDB00033,NA,Glyoxylic acid,OC(=O)C=O,quantified,C2H2O3,74.00039392,2,Metabolite
YMDB00034,NA,L-aspartic 4-semialdehyde,N[C@@H](CC=O)C(O)=O,quantified,C4H7N1O3,117.0425931,2,Metabolite
YMDB00035,NA,L-methionine (R)-S-oxide,C[S@@](=O)CC[C@H](N)C(O)=O,quantified,C5H11N1O3S1,165.045964,1,Metabolite
YMDB00036,NA,4-alpha-Methyl-5-alpha-cholest-7-en-3-beta-ol,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC[C@@]2([H])[C@H](C)[C@@H](O)CC[C@]12C,quantified,C28H48O1,400.3705162,5,Metabolite
YMDB00037,NA,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,quantified,C8H11N1O3,169.0738932,4,Metabolite
YMDB00038,NA,L-Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,quantified,C6H13N1O2,131.0946287,1,Metabolite
YMDB00039,NA,(S)-2-Aceto-2-hydroxybutanoic acid,CC[C@](O)(C(C)=O)C(O)=O,quantified,C6H10O4,146.0579088,2,Metabolite
YMDB00040,NA,5-Methylthioribose 1-phosphate,CSCC1OC(OP(O)(O)=O)[C@H](O)[C@@H]1O,quantified,C6H13O7P1S1,260.01196,1,Metabolite
YMDB00042,NA,"1,3-Diaminopropane",NCCCN,quantified,C3H10N2,74.08439834,0,Metabolite
YMDB00044,NA,Glucosamine 6-phosphate,N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,quantified,C6H14N1O8P1,259.0457029,1,Metabolite
YMDB00045,NA,Coenzyme A,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS,quantified,C21H36N7O16P3S1,767.1152083,9,Metabolite
YMDB00046,NA,L-Cysteine,N[C@@H](CS)C(O)=O,quantified,C3H7N1O2S1,121.0197492,1,Metabolite
YMDB00047,NA,N-Acetyl-L-glutamyl 5-phosphate,CC(=O)N[C@@H](CCC(=O)OP(O)(O)=O)C(O)=O,quantified,C7H12N1O8P1,269.0300528,3,Metabolite
YMDB00048,NA,3-Aminopropionaldehyde,NCCC=O,quantified,C3H7N1O1,73.05276385,1,Metabolite
YMDB00049,NA,Uridine 5'-monophosphate,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,quantified,C9H13N2O9P1,324.0358665,5,Metabolite
YMDB00050,NA,8-Oxo-dGMP,NC1=NC(=O)C2=C(N1)N(C1C[C@H](O)C(COP(O)(O)=O)O1)C(=O)N2,quantified,C10H14N5O8P1,363.0579989,7,Metabolite
YMDB00051,NA,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,quantified,C9H13N3O5,243.0855205,5,Metabolite
YMDB00052,NA,Argininosuccinic acid,[H][C@](N)(CCCNN=CN[C@@]([H])(CC(O)=O)C(O)=O)C(O)=O,quantified,C10H18N4O6,290.1226343,4,Metabolite
YMDB00053,NA,(S)-3-Hydroxyisobutyryl-CoA,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12,quantified,C25H42N7O18P3S1,853.1519878,10,Metabolite
YMDB00054,NA,N-(5-phospho-beta-D-ribosyl)anthranilic acid,O[C@H]1[C@@H](O)[C@H](NC2=CC=CC=C2C(O)=O)O[C@@H]1COP(O)(O)=O,quantified,C12H16N1O9P1,349.0562676,6,Metabolite
YMDB00055,NA,Protoporphyrin IX,CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O,quantified,C34H34N4O4,562.2580056,20,Metabolite
YMDB00056,NA,Acetic acid,CC(O)=O,quantified,C2H4O2,60.02112937,1,Metabolite
YMDB00057,NA,Oxidized glutathione,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,quantified,C20H32N6O12S2,612.151962,8,Metabolite
YMDB00058,NA,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,quantified,C10H13N5O4,267.0967539,7,Metabolite
YMDB00060,NA,Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O,quantified,C6H13N3O3,175.0956913,2,Metabolite
YMDB00061,NA,Ribose 1-phosphate,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,quantified,C5H11O8P1,230.0191538,1,Metabolite
YMDB00063,NA,"(R)-2,3-Dihydroxy-isovalerate",CC(C)(O)[C@@H](O)C(O)=O,quantified,C5H10O4,134.0579088,1,Metabolite
YMDB00064,NA,CDP,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C9H15N3O11P2,403.0181813,5,Metabolite
YMDB00065,NA,5-Aminoimidazole ribonucleotide,NC1=CN=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C8H14N3O7P1,295.0569363,4,Metabolite
YMDB00066,NA,N-acetyl-L-glutamic acid,CC(=O)N[C@@H](CCC(O)=O)C(O)=O,quantified,C7H11N1O5,189.0637225,3,Metabolite
YMDB00067,NA,5-Phosphoribosylamine,N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C5H12N1O7P1,229.0351382,1,Metabolite
YMDB00068,NA,"(R)-2,3-Dihydroxy-3-methylvalerate",CC[C@@](C)(O)[C@@H](O)C(O)=O,quantified,C6H12O4,148.0735589,1,Metabolite
YMDB00069,NA,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,quantified,C16H32O2,256.2402303,1,Metabolite
YMDB00070,NA,Imidazole acetol-phosphate,OP(O)(=O)OCC(=O)CC1=CNC=N1,quantified,C6H9N2O5P1,220.0249079,4,Metabolite
YMDB00071,NA,2-Ketobutyric acid,CCC(=O)C(O)=O,quantified,C4H6O3,102.0316941,2,Metabolite
YMDB00072,NA,D-Galactose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,quantified,C6H12O6,180.0633881,1,Metabolite
YMDB00073,NA,Glycerol 3-phosphate,OC[C@@H](O)COP(O)(O)=O,quantified,C3H9O6P1,172.0136745,0,Metabolite
YMDB00074,NA,Cyanide,[C-]#N,quantified,C1H1N1,27.01089904,2,Adduct
YMDB00075,NA,Dethiobiotin,[H][C@@]1(C)NC(=O)N[C@]1([H])CCCCCC(O)=O,quantified,C10H18N2O3,214.1317425,3,Metabolite
YMDB00076,NA,DL-O-Phosphoserine,NC(COP(O)(O)=O)C(O)=O,quantified,C3H8N1O6P1,185.0089235,1,Metabolite
YMDB00077,NA,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,NC1=C(N=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C(O)=O,quantified,C9H14N3O9P1,339.0467655,5,Metabolite
YMDB00079,NA,Dihydrofolic acid,NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CN2)C(=O)N1,quantified,C19H21N7O6,443.1553315,13,Metabolite
YMDB00080,NA,N10-Formyl-THF,NC1=NC(=O)C2=C(NCC(CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,quantified,C20H23N7O7,473.1658961,13,Metabolite
YMDB00081,NA,Tetrahydropteroyltri-L-glutamate,NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)N2)N1,quantified,C29H37N9O12,703.2561677,16,Metabolite
YMDB00082,NA,Carbamoylphosphate,NC(=O)OP(O)(O)=O,quantified,C1H4N1O5P1,140.9827087,1,Metabolite
YMDB00083,NA,5-Aminolevulinic acid,NCC(=O)CCC(O)=O,quantified,C5H9N1O3,131.0582432,2,Metabolite
YMDB00084,NA,Coproporphyrinogen III,CC1=C2CC3=C(C)C(CCC(O)=O)=C(CC4=C(CCC(O)=O)C(C)=C(CC5=C(CCC(O)=O)C(C)=C(CC(N2)=C1CCC(O)=O)N5)N4)N3,quantified,C36H44N4O8,660.3159144,17,Metabolite
YMDB00085,NA,Flavin Mononucleotide,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2,quantified,C17H21N4O9P1,456.1046148,10,Metabolite
YMDB00088,NA,Ubiquinone Q1,COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O,quantified,C14H18O4,250.1205091,6,Metabolite
YMDB00089,NA,D-Erythro-imidazole-glycerol-phosphate,O[C@H](COP(O)(O)=O)[C@@H](O)C1=CNC=N1,quantified,C6H11N2O6P1,238.0354726,3,Metabolite
YMDB00090,NA,Citicoline,C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,quantified,C14H26N4O11P2,488.1073307,5,Metabolite
YMDB00092,NA,5-[(5-phospho-1-deoxy-D-ribulos-1-ylimino)methylamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,[H]C(NC1=C(N=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C(N)=O)=NCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,quantified,C15H25N5O15P2,577.0822381,7,Metabolite
YMDB00094,NA,Methylisocitric acid,CC(O)(C(CC(O)=O)C(O)=O)C(O)=O,quantified,C7H10O7,206.0426527,3,Metabolite
YMDB00095,NA,Dimethylallylpyrophosphate,CC(C)=CCO[P@](O)(=O)OP(O)(O)=O,quantified,C5H12O7P2,246.0058257,1,Metabolite
YMDB00097,NA,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,quantified,C10H14N5O7P1,347.0630843,7,Metabolite
YMDB00098,NA,Uracil,O=C1NC=CC(=O)N1,quantified,C4H4N2O2,112.0272774,4,Metabolite
YMDB00099,NA,Tetradecanoyl-CoA,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C35H62N7O17P3S1,977.3135738,10,Metabolite
YMDB00100,NA,3-Dehydroquinate,O[C@@H]1C[C@@](O)(CC(=O)[C@H]1O)C(O)=O,quantified,C7H10O6,190.047738,3,Metabolite
YMDB00101,NA,Fumaric acid,OC(=O)\C=C\C(O)=O,quantified,C4H4O4,116.0109586,3,Metabolite
YMDB00102,NA,"7,8-diaminononanoic acid",CC(N)C(N)CCCCCC(O)=O,quantified,C9H20N2O2,188.1524779,1,Metabolite
YMDB00103,NA,Nicotinamide riboside,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,quantified,C11H14N2O5,254.0902716,6,Metabolite
YMDB00104,NA,L-Homoserine,N[C@@H](CCO)C(O)=O,quantified,C4H9N1O3,119.0582432,1,Metabolite
YMDB00105,NA,L-3-Hydroxykynurenine,N[C@@H](CC(=O)C1=CC=CC(O)=C1N)C(O)=O,quantified,C10H12N2O4,224.0797069,6,Metabolite
YMDB00106,NA,2-Isopropylmalic acid,CC(C)[C@@](O)(CC(O)=O)C(O)=O,quantified,C7H12O5,176.0684735,2,Metabolite
YMDB00107,NA,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1,quantified,C5H7N1O3,129.0425931,3,Metabolite
YMDB00108,NA,"Fructose 1,6-bisphosphate",[H][C@]1(O)[C@]([H])(O)[C@]([H])(COP(O)(O)=O)O[C@]1([H])COP(O)(O)=O,quantified,C6H14O11P2,324.0011342,1,Metabolite
YMDB00109,NA,Adenosine triphosphate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C10H16N5O13P3,506.9957451,7,Metabolite
YMDB00110,NA,NAD,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,quantified,C21H27N7O14P2,663.1091216,13,Metabolite
YMDB00111,NA,D-Lactaldehyde,C[C@@H](O)C=O,quantified,C3H6O2,74.03677943,1,Metabolite
YMDB00112,NA,L-Serine,N[C@@H](CO)C(O)=O,quantified,C3H7N1O3,105.0425931,1,Metabolite
YMDB00113,NA,4-Phospho-L-aspartic acid,N[C@@H](CC(=O)OP(O)(O)=O)C(O)=O,quantified,C4H8N1O7P1,213.0038381,2,Metabolite
YMDB00115,NA,D-Glyceraldehyde 3-phosphate,OC(COP(O)(O)=O)C=O,quantified,C3H7O6P1,169.9980244,1,Metabolite
YMDB00116,NA,Phenylacetaldehyde,O=CCC1=CC=CC=C1,quantified,C8H8O1,120.0575149,5,Metabolite
YMDB00117,NA,4-amino-2-methyl-5-diphosphomethylpyrimidine,CC1=NC=C(COP(O)(=O)OP(O)(O)=O)C(=N)N1,quantified,C6H11N3O7P2,299.0072227,4,Metabolite
YMDB00118,NA,4-amino-5-hydroxymethyl-2-methylpyrimidine,CC1=NC=C(CO)C(N)=N1,quantified,C6H9N3O1,139.0745619,4,Metabolite
YMDB00120,NA,Phosphoadenosine phosphosulfate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O,quantified,C10H15N5O13P2S1,506.9862293,7,Metabolite
YMDB00122,NA,(2E)-2-(methoxycarbonylmethyl)but-2-enedioic acid,COC(=O)C\C(=C/C(O)=O)C(O)=O,quantified,C7H8O6,188.032088,4,Metabolite
YMDB00123,NA,L-histidinol phosphate,N[C@H](COP(O)(O)=O)CC1=CNC=N1,quantified,C6H12N3O4P1,221.0565424,3,Metabolite
YMDB00124,NA,urea-1-carboxylic acid,NC(=O)NC(O)=O,quantified,C2H4N2O3,104.022192,2,Metabolite
YMDB00125,NA,O-Phosphoethanolamine,NCCOP(O)(O)=O,quantified,C2H8N1O4P1,141.0190942,0,Metabolite
YMDB00126,NA,L-Tryptophan,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,quantified,C11H12N2O2,204.0898776,7,Metabolite
YMDB00127,NA,Uridine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,quantified,C9H12N2O6,244.0695361,5,Metabolite
YMDB00128,NA,4-amino-2-methyl-5-phosphomethylpyrimidine,CC1=NC=C(COP(O)(O)=O)C(=N)N1,quantified,C6H10N3O4P1,219.0408923,4,Metabolite
YMDB00131,NA,Oleic acid,CCCCCCCC\C=C/CCCCCCCC(O)=O,quantified,C18H34O2,282.2558803,2,Metabolite
YMDB00133,NA,"Phosphatidylinositol 4,5-bisphosphate",CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@H]1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,quantified,C47H85O19P3,1046.48979,7,Metabolite
YMDB00134,NA,Diadenosine triphosphate,NC1=C2N=CN([C@H]3O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@H](O)[C@@H]3O)C2=NC=N1,quantified,C20H27N10O16P3,756.0819344,14,Metabolite
YMDB00135,NA,Nitrite,[O-]N=O,quantified,H1N1O2,47.00072828,1,Adduct
YMDB00136,NA,benzil,O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,quantified,C14H10O2,210.0680796,10,Metabolite
YMDB00137,NA,Trehalose 6-phosphate,OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,quantified,C12H23O14P1,422.0825419,2,Metabolite
YMDB00138,NA,Nicotinamide ribotide,NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O,quantified,C11H15N2O8P1,334.056602,6,Metabolite
YMDB00139,NA,Tetrahydrofolic acid,OC(=O)CCC(NC(=O)C1=CC=C(NCC2CNC3=C(N2)C(O)=NC(=N)N3)C=C1)C(O)=O,quantified,C19H23N7O6,445.1709815,12,Metabolite
YMDB00140,NA,6-Phosphonoglucono-D-lactone,O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)OC(=O)[C@@H]1O,quantified,C6H11O9P1,258.0140684,2,Metabolite
YMDB00141,NA,"ADP-ribose 1""-2"" cyclic phosphate",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2OC3OP(O)(=O)OC3C2O)[C@@H](O)[C@H]1O,quantified,C15H22N5O16P3,621.0274391,9,Metabolite
YMDB00142,NA,Oxoadipic acid,OC(=O)CCCC(=O)C(O)=O,quantified,C6H8O5,160.0371734,3,Metabolite
YMDB00143,NA,NADH,NC1=C2N=CN(C3OC(COP(O)(=O)OP(O)(=O)OCC4OC(C(O)C4O)N4C=CCC(=C4)C(O)=N)C(O)C3O)C2=NC=N1,quantified,C21H29N7O14P2,665.1247717,12,Metabolite
YMDB00145,NA,Hydroxymethylbilane,OCC1=C(CC(O)=O)C(CCC(O)=O)=C(CC2=C(CC(O)=O)C(CCC(O)=O)=C(CC3=C(CC(O)=O)C(CCC(O)=O)=C(CC4=C(CC(O)=O)C(CCC(O)=O)=CN4)N3)N2)N1,quantified,C40H46N4O17,854.2857961,20,Metabolite
YMDB00147,NA,"2,5-Diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine",NC1=NC(N[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)=C(N)C(O)=N1,quantified,C9H16N5O8P1,353.073649,5,Metabolite
YMDB00148,NA,Chorismate,O[C@@H]1C=CC(=C[C@H]1OC(=C)C(O)=O)C(O)=O,quantified,C10H10O6,226.047738,6,Metabolite
YMDB00149,NA,"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol",NC1=NC2=C(N=C(CO)CN2)C(=O)N1,quantified,C7H9N5O2,195.0756246,6,Metabolite
YMDB00150,NA,5'-Deoxyadenosine,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12,quantified,C10H13N5O3,251.1018393,7,Metabolite
YMDB00151,NA,4-Hydroxyphenylpyruvic acid,OC(C(=O)C(O)=O)C1=CC=CC=C1,quantified,C9H8O4,180.0422587,6,Metabolite
YMDB00152,NA,L-Valine,CC(C)[C@H](N)C(O)=O,quantified,C5H11N1O2,117.0789786,1,Metabolite
YMDB00153,NA,Oxoglutaric acid,OC(=O)CCC(=O)C(O)=O,quantified,C5H6O5,146.0215233,3,Metabolite
YMDB00154,NA,L-Alanine,C[C@H](N)C(O)=O,quantified,C3H7N1O2,89.04767847,1,Metabolite
YMDB00155,NA,Quinone,O=C1C=CC(=O)C=C1,quantified,C6H4O2,108.0211294,5,Metabolite
YMDB00156,NA,Protoporphyrinogen IX,CC1=C2CC3=C(C)C(C=C)=C(CC4=C(C)C(C=C)=C(CC5=C(C)C(CCC(O)=O)=C(CC(N2)=C1CCC(O)=O)N5)N4)N3,quantified,C34H40N4O4,568.3049558,17,Metabolite
YMDB00157,NA,Nicotinate D-ribonucleoside,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N+]1=CC(=CC=C1)C(O)=O,quantified,C11H13N1O6,255.0742871,6,Metabolite
YMDB00158,NA,O-Acetyl-L-homoserine,CC(=O)OCC[C@H](N)C(O)=O,quantified,C6H11N1O4,161.0688078,2,Metabolite
YMDB00159,NA,cis-4-carboxymethylenebut-2-en-4-olide,OC(=O)\C=C1\OC(=O)C=C1,quantified,C6H4O4,140.0109586,5,Metabolite
YMDB00160,NA,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,quantified,C10H17N3O6S1,307.083806,4,Metabolite
YMDB00161,NA,D-Xylulose,[H][C@@](O)(CO)[C@]([H])(O)C(=O)CO,quantified,C5H10O5,150.0528234,1,Metabolite
YMDB00162,NA,5-Thymidylic acid,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O,quantified,C10H15N2O8P1,322.056602,5,Metabolite
YMDB00163,NA,5-Amino-6-(5'-phosphoribosylamino)uracil,NC1=C(N[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)NC(=O)NC1=O,quantified,C9H15N4O9P1,354.0576646,5,Metabolite
YMDB00164,NA,Thiamine monophosphate,CC1=C(CCO[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N,quantified,C12H17N4O4P1S1,344.0708123,7,Metabolite
