peak_id,id,medMz,medRt,log10_inten,class,formula,ppm_error,score_known_rt,score_MS2,level,accession,annotation
92,137,600.3930764523305,1.52,7.7,Artifact,C28H60N2O7P1S1,0.17,0,,,,Peak 93 C28H61N2O7P1S1 - H1 -> C28H60N2O7P1S1
93,138,601.3960764523305,1.52,6.98,Artifact,[13]C1C27H60N2O7P1S1,0.67,0,,,,Peak 93 C28H61N2O7P1S1 - H1 -> C28H60N2O7P1S1 + [13]C1C-1 -> [13]C1C27H60N2O7P1S1
94,139,751.5108764523305,1.52,7,Putative metabolite,C39H75O11P1,1.47,0,,4,,HMDB0010571 PG(16:0/16:1(9Z)) C38H73O10P1 + C1H2O1 -> C39H75O11P1
95,140,752.5148764523306,1.52,6.63,Artifact,[13]C1C38H75O11P1,0.67,0,,,,Peak 94 C39H75O11P1 + [13]C1C-1 -> [13]C1C38H75O11P1
96,141,771.5458764523305,1.52,6.08,Artifact,C45H80K1O5P1,-0.78,0,,,,Peak 294 C45H81O5P1 + H-1K1 -> C45H80K1O5P1
97,142,773.4927764523305,1.52,6.79,Artifact,C39H74Na1O11P1,1.42,0,,,,Peak 94 C39H75O11P1 + H-1Na1 -> C39H74Na1O11P1
98,143,774.4962764523306,1.52,6.49,Artifact,[13]C1C41H71Na3O8,-1.81,0,,,,Peak 244 C42H74O8 + H-2Na2 -> C42H72Na2O8 + [13]C1C-1 -> [13]C1C41H72Na2O8 + H-1Na1 -> [13]C1C41H71Na3O8
99,144,831.5716764523305,1.52,6.2,Artifact,[13]C1C42H85K1N1O9P1,-1.32,0,,,,HMDB0013426 PC(O-18:1(9Z)/16:0) C42H84N1O7P1 + [13]C1C-1 -> [13]C1C41H84N1O7P1 + C1H1K1O2 -> [13]C1C42H85K1N1O9P1
100,145,837.6191764523305,1.52,6.2,Artifact,[13]C1C45H87N1Na1O8P1,-2.15,0,,,,"HMDB0008359 PC(20:2(11Z,14Z)/P-18:1(11Z)) C46H86N1O7P1 + H1Na1O1 -> C46H87N1Na1O8P1 + [13]C1C-1 -> [13]C1C45H87N1Na1O8P1"
101,146,857.5873764523305,1.52,6.08,Artifact,[13]C1C44H87K1N1O9P1,-1.4,0,,,,HMDB0008062 PC(18:0/P-18:1(11Z)) C44H86N1O7P1 + [13]C1C-1 -> [13]C1C43H86N1O7P1 + C1H1K1O2 -> [13]C1C44H87K1N1O9P1
102,148,82.73259645233057,1.55,5.8,Unknown,Unknown,0,,,,,Unknown
103,149,85.39339645233058,1.55,6.52,Unknown,Unknown,0,,,,,Unknown
104,150,85.50489645233057,1.55,6.11,Unknown,Unknown,0,,,,,Unknown
105,151,94.06529645233057,1.55,6.18,Metabolite,C6H7N1,-1.83,,,3,HMDB0003012,HMDB0003012 Aniline C6H7N1
106,152,119.08437645233057,1.55,6.15,Artifact,MS2_fragment_C25H36O3,-1.69,0,,,HMDB0034952,HMDB0251964 Estradiol enanthate C25H36O3 - Experiment_MS2_fragment -> MS2_fragment_C25H36O3
107,154,281.1381764523306,1.55,6.65,Metabolite,C15H20O5,0.71,,,3,HMDB0250929,HMDB0250929 Deepoxy-deoxynivalenol C15H20O5
108,155,301.2017764523306,1.55,6.4,Artifact,[13]C0.5[15]N0.5C18H25N1.5O1.5,-0.67,0,,,,No edge connections.
109,156,330.2459764523306,1.55,6.46,Putative metabolite,C18H35N1O2S1,0.61,0,,4,,HMDB0013648 Palmitoleoylethanolamde C18H35N1O2 + S1 -> C18H35N1O2S1
110,157,344.2614764523306,1.55,6.34,Putative metabolite,C19H37N1O2S1,0.87,0,,4,,HMDB0013648 Palmitoleoylethanolamde C18H35N1O2 + S1 -> C18H35N1O2S1 + C1H2 -> C19H37N1O2S1
111,158,351.24307645233057,1.55,6.95,Metabolite,C23H30N2O1,0,,,3,HMDB0243534,HMDB0243534 (+)-cis-3-Methylfentanyl C23H30N2O1
112,159,351.9118764523306,1.55,6.28,Metabolite,C9H6I1N1O4S1,4.56,,,3,HMDB0247438,HMDB0247438 Chiniofon C9H6I1N1O4S1
113,160,376.2696764523306,1.55,6.67,Artifact,Ring_artifact_C19H38N1O4P1,0,0,,,,Peak 78 C19H38N1O4P1 + Ring_artifact -> Ring_artifact_C19H38N1O4P1
114,161,384.5815764523306,1.55,5.97,Artifact,Ring_artifact_[34]S0.5C20H40N0.5O4P0.5,0,0,,,,No edge connections.
115,162,384.77187645233056,1.55,7.94,Artifact,[34]S0.5C20H40N0.5O4P0.5,1.04,0,,,,No edge connections.
116,163,385.2735764523306,1.55,7.59,Metabolite,C25H36O3,0.26,,,3,HMDB0251964,HMDB0251964 Estradiol enanthate C25H36O3
117,164,385.7751764523306,1.55,6.92,Artifact,[13]C0.5C20.5H38N1O4S0.5,-0.26,0,,,,No edge connections.
118,165,394.2697764523306,1.55,6.3,Unknown,Unknown,0,,,,,Unknown
119,166,415.2112764523306,1.55,7.97,Metabolite,C24H30O6,0.48,,,3,HMDB0014838,HMDB0014838 Eplerenone C24H30O6
120,167,416.2146764523306,1.55,7.36,Artifact,[13]C1C23H30O6,0.48,0,,,,HMDB0014838 Eplerenone C24H30O6 + [13]C1C-1 -> [13]C1C23H30O6
121,168,432.2377764523306,1.55,7.53,Metabolite,C24H33N1O6,0.7,,,3,HMDB0255800,HMDB0255800 Tropolone A C24H33N1O6
122,169,433.24107645233056,1.55,6.92,Artifact,[13]C1C23H33N1O6,0.69,0,,,,HMDB0255800 Tropolone A C24H33N1O6 + [13]C1C-1 -> [13]C1C23H33N1O6
123,170,435.28157645233057,1.55,7.04,Artifact,[2]H0.5C25H39N0.5Na1O3S0.5,0,0,,,,No edge connections.
124,173,438.1964764523306,1.55,6.08,Artifact,[13]C1C23H29Na1O6,0.69,0,,,,HMDB0014838 Eplerenone C24H30O6 + H-1Na1 -> C24H29Na1O6 + [13]C1C-1 -> [13]C1C23H29Na1O6
125,174,621.3712764523306,1.55,5.96,Putative metabolite,C37H52N2O4S1,1.29,0,,4,,HMDB0040684 Janthitrem C C37H47N1O4 + H3N1 -> C37H50N2O4 + H2S1 -> C37H52N2O4S1
126,175,743.5771764523305,1.55,6.2,Artifact,[13]C1C41H80N1O7P1,0.94,0,,,,HMDB0007972 PC(16:0/18:1(9Z)) C42H82N1O8P1 - H2O1 -> C42H80N1O7P1 + [13]C1C-1 -> [13]C1C41H80N1O7P1
127,176,745.5929764523305,1.55,6.81,Artifact,[13]C1C41H82N1O7P1,0.67,0,,,,HMDB0007996 PC(16:0/P-18:1(11Z)) C42H82N1O7P1 + [13]C1C-1 -> [13]C1C41H82N1O7P1
128,177,768.5363764523305,1.55,7.87,Artifact,C39H78N1O11P1,2.74,0,,,,Peak 94 C39H75O11P1 + H3N1 -> C39H78N1O11P1
129,178,769.5398764523305,1.55,7.51,Artifact,[13]C1C38H78N1O11P1,2.6,0,,,,HMDB0010567 PE-NMe(16:0/16:0) C38H76N1O8P1 + C1H2O3 -> C39H78N1O11P1 + [13]C1C-1 -> [13]C1C38H78N1O11P1
130,179,772.6210764523305,1.55,6.63,Metabolite,C44H86N1O7P1,0.52,,,3,HMDB0008062,HMDB0008062 PC(18:0/P-18:1(11Z)) C44H86N1O7P1
131,180,773.6241764523305,1.55,6.43,Artifact,[13]C1C43H86N1O7P1,0.78,0,,,,HMDB0008062 PC(18:0/P-18:1(11Z)) C44H86N1O7P1 + [13]C1C-1 -> [13]C1C43H86N1O7P1
132,181,785.5878764523305,1.55,7.32,Artifact,[13]C1C43H82N1O8P1,0.76,0,,,,"HMDB0007921 PC(14:1(9Z)/22:2(13Z,16Z)) C44H82N1O8P1 + [13]C1C-1 -> [13]C1C43H82N1O8P1"
133,182,788.6053764523306,1.55,6.96,Artifact,[13]C2C42H84N1O8P1,2.67,0,,,,HMDB0000593 PC(18:1(9Z)/18:1(9Z)) C44H84N1O8P1 + [13]C1C-1 -> [13]C1C43H84N1O8P1 + [13]C1C-1 -> [13]C2C42H84N1O8P1
134,183,790.5733764523305,1.55,6.36,Artifact,C44H81N1Na1O7P1,-1.65,0,,,,"HMDB0008161 PC(18:2(9Z,12Z)/P-18:1(11Z)) C44H82N1O7P1 + H-1Na1 -> C44H81N1Na1O7P1"
135,184,791.5768764523306,1.55,6.08,Artifact,[13]C1C45H80N1O7P1,1.26,0,,,,"HMDB0008523 PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(11Z)) C46H80N1O7P1 + [13]C1C-1 -> [13]C1C45H80N1O7P1"
136,185,792.5893764523305,1.55,6.97,Metabolite,C46H82N1O7P1,1.01,,,3,HMDB0008457,"HMDB0008457 PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z)) C46H82N1O7P1"
137,186,794.6054764523305,1.55,6.93,Metabolite,C46H84N1O7P1,0.38,,,3,HMDB0008392,"HMDB0008392 PC(20:3(5Z,8Z,11Z)/P-18:1(11Z)) C46H84N1O7P1"
138,187,795.6085764523306,1.55,6.71,Artifact,[13]C1C45H84N1O7P1,0.76,0,,,,"HMDB0008392 PC(20:3(5Z,8Z,11Z)/P-18:1(11Z)) C46H84N1O7P1 + [13]C1C-1 -> [13]C1C45H84N1O7P1"
139,188,800.6155764523305,1.55,6.18,Metabolite,C45H86N1O8P1,1,,,3,HMDB0256163,"HMDB0256163 PC(18:2(9Z,12Z)/19:0) C45H86N1O8P1"
140,189,804.5525764523305,1.55,6.71,Artifact,C42H80N1Na2O8P1,-4.48,0,,,,HMDB0007972 PC(16:0/18:1(9Z)) C42H82N1O8P1 + H-2Na2 -> C42H80N1Na2O8P1
141,190,810.6011764523305,1.55,7.11,Metabolite,C46H84N1O8P1,-0.49,,,3,HMDB0008048,"HMDB0008048 PC(18:0/20:4(5Z,8Z,11Z,14Z)) C46H84N1O8P1"
142,191,816.5888764523305,1.55,6.08,Artifact,C46H83N1Na1O7P1,-1.35,0,,,,"HMDB0008392 PC(20:3(5Z,8Z,11Z)/P-18:1(11Z)) C46H84N1O7P1 + H-1Na1 -> C46H83N1Na1O7P1"
143,192,824.5792764523305,1.55,6.04,Artifact,C44H83N1Na1O9P1,-2.06,0,,,,HMDB0008029 PC(16:1(9Z)/P-18:1(11Z)) C42H80N1O7P1 + C2H3Na1O2 -> C44H83N1Na1O9P1
144,193,832.5841764523306,1.55,7.15,Artifact,C46H83N1Na1O8P1,-1.8,0,,,,"HMDB0008457 PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z)) C46H82N1O7P1 + H1Na1O1 -> C46H83N1Na1O8P1"
145,194,833.5875764523305,1.55,6.87,Artifact,[13]C1C45H83N1Na1O8P1,-1.8,0,,,,"HMDB0008457 PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z)) C46H82N1O7P1 + H1Na1O1 -> C46H83N1Na1O8P1 + [13]C1C-1 -> [13]C1C45H83N1Na1O8P1"
146,195,834.6008764523306,1.55,6.86,Metabolite,C48H84N1O8P1,-0.12,,,3,HMDB0008057,"HMDB0008057 PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C48H84N1O8P1"
147,196,835.6034764523305,1.55,6.68,Artifact,[13]C1C47H84N1O8P1,0.72,0,,,,"HMDB0008057 PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C48H84N1O8P1 + [13]C1C-1 -> [13]C1C47H84N1O8P1"
148,197,856.5842764523305,1.55,6.4,Artifact,C45H87K1N1O9P1,-1.64,0,,,,HMDB0008062 PC(18:0/P-18:1(11Z)) C44H86N1O7P1 + C1H1K1O2 -> C45H87K1N1O9P1
149,198,868.5518764523305,1.55,6.87,Artifact,C45H83K1N1O10P1,-6.22,0,,,,"HMDB0008161 PC(18:2(9Z,12Z)/P-18:1(11Z)) C44H82N1O7P1 + C1H1K1O3 -> C45H83K1N1O10P1"
150,199,869.5552764523305,1.55,6.57,Artifact,[13]C1C44H83K1N1O10P1,-6.33,0,,,,"HMDB0008161 PC(18:2(9Z,12Z)/P-18:1(11Z)) C44H82N1O7P1 + C1H1K1O3 -> C45H83K1N1O10P1 + [13]C1C-1 -> [13]C1C44H83K1N1O10P1"
151,200,84.28589645233058,1.57,6.87,Unknown,Unknown,0,,,,,Unknown
152,201,84.50979645233058,1.57,6.95,Unknown,Unknown,0,,,,,Unknown
153,202,84.62129645233057,1.57,6.6,Unknown,Unknown,0,,,,,Unknown
154,203,86.72859645233058,1.57,5.85,Unknown,Unknown,0,,,,,Unknown
155,204,86.95249645233058,1.57,6.18,Unknown,Unknown,0,,,,,Unknown
156,205,87.40049645233057,1.57,6.6,Unknown,Unknown,0,,,,,Unknown
157,206,87.51199645233058,1.57,6.26,Unknown,Unknown,0,,,,,Unknown
158,207,89.61919645233057,1.57,5.98,Unknown,Unknown,0,,,,,Unknown
159,208,89.84319645233057,1.57,6.11,Unknown,Unknown,0,,,,,Unknown
